licence_num,facility_name,address,address2,city,province,postal_code,phone,licensee_name,services,assess_date,action_date,action_comment
,WELL Health Diagnostic Centres,470 Chrysler Drive,Suite 28,Brampton,ON,L6S0C1,905-791-3458,MyHealth Partners Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2022-03-29,2022-06-06,Met standards.
,WELL Health Diagnostic Centres,31 Centre Street South,,Brampton,ON,L6W2X7,905-455-3010,MyHealth Partners Inc. ," Vascular Ultrasound, Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion, Pulmonary Function C - Escalated Testing",2022-03-31,2022-11-17,Met standards with some recommendations made for improvement.
,Unity Diagnostic Centre,3938 Cottrelle Boulevard,,Brampton,ON,L6P2R1,905-913-9191,Unity Diagnostic Centre Inc. ," Radiography, General Ultrasound",2022-05-02,2022-08-22,Met standards.
,Brampton Vascular Imaging,11755 Bramalea Road,Unit 2,Brampton,ON,L6R3S9,905-230-2999,2593049 Ontario Inc. , Vascular Ultrasound,2020-09-20,2020-09-20,Facility has not been assessed during current ownership.
,Queen West X-Ray and Ultrasound Services,400 Queen Street West,"Unit 9, 2nd Floor",Brampton,ON,L6X1B3,905-454-3173,Maytona Ventures Ltd. ," Mammography, Radiography, General Ultrasound, Vascular Ultrasound, Bone Mineral DXA",2022-11-21,2023-01-27,Met standards.
,Gore Diagnostic Imaging,4525 Ebenezer Road,Unit 2,Brampton,ON,L6P2K8,905-913-0222,2482126 Ontario Limited ," Radiography, General Ultrasound, Mammography, Bone Mineral DXA",2022-12-13,2023-04-18,Met standards.
,Prism Eye Institute,7700 Hurontario Street,Suite 605,Brampton,ON,L6Y4M3,905-456-3937,Prism Eye Institute Inc. , Ophthalmic Ultrasound,2023-02-17,2023-04-14,Met standards.
,Brampton Vascular Institute,164 Queen Street East,Suite 110,Brampton,ON,L6V1B4,905-455-4414,Brampton Vascular Associates Ltd. ," Vascular Ultrasound, General Ultrasound",2023-05-30,2023-07-24,Met standards.
,Gillingham Ultrasound,60 Gillingham Drive,"4th Floor, Unit 401, Room 3",Brampton,ON,L6X0Z9,905-794-9060,2571535 Ontario Inc. ," General Ultrasound, Bone Mineral DXA",2024-02-23,2024-04-05,Met standards.
,Heart Lake X-Ray & Ultrasound,10425 Kennedy Road North,Suite 104,Brampton,ON,L6Z0A4,905-846-7733,J.B.V. Management Services Ltd. ," Radiography, General Ultrasound",2024-01-31,2024-04-11,Met standards.
,WELL Health Diagnostic Centres,2 Dewside Drive,Unit 206,Brampton,ON,L6R3Y5,905-796-4590,MyHealth Caledon Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2023-11-13,2024-01-22,Met standards.
,North West Brampton Radiology,645 Remembrance Road,,Brampton,ON,L7A5H2,905-781-3456,2548781 Ontario Limited (GDI Gam Diagnostic Imaging) ," Radiography, General Ultrasound, Bone Mineral DXA, Mammography",See Comment Below,2023-05-01,Facility has not been assessed during current ownership.
,Bramalea X-Ray and Ultrasound,18 Kensington Road,Suite 200 and 206,Brampton,ON,L6T4S5,905-793-5858,2548781 Ontario Limited (GDI Gam Diagnostic Imaging) ," Bone Mineral DXA, Fluoroscopy, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2024-10-24,2025-02-03,Met standards.
,Elite Diagnostics X-Ray & Ultrasound,157 Queen Street East,Basement,Brampton,ON,L6W3X4,905-454-3305,2440708 Ontario Inc. ," Radiography, General Ultrasound",2024-10-10,2025-01-08,Met standards.
,Cottrelle Diagnostic Imaging,10 Cottrelle Boulevard,Unit 202,Brampton,ON,L6S0E2,905-794-0626,2566773 Ontario Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2024-11-14,2025-02-07,Met standards.
,WELL Health Sleep Centres,480 Chrysler Drive,Unit 34,Brampton,ON,L6S0C1,905-790-8800,MyHealth Partners Inc. , Sleep Studies,2024-11-12,2025-02-10,Met standards.
,Brampton Respirology,2250 Bovaird Drive East,Suite 308,Brampton,ON,L6R0W3,905-595-2870,Dr. Vikram R. Comondore Medicine Professional Corporation ," Pulmonary Function C - Escalated Testing, Pulmonary Function - Other Fee Codes, Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",2022-12-19,2022-12-19,Facility has not been assessed during current ownership.
,Brampton Sleep Clinic,40 Finchgate Boulevard,Suites 216 & 218,Brampton,ON,L6T3J1,905-456-3699,MedSleep Inc. ," Sleep Studies, Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",2025-09-23,2026-02-17,Met standards.
,Finchgate X-Ray and Ultrasound,40 Finchgate Boulevard,Suite 320,Brampton,ON,L6T3J1,905-792-8440,J.B.V. Management Services Ltd. ," Bone Mineral DXA, Fluoroscopy, Mammography, Radiography, General Ultrasound",2025-04-10,2025-07-21,Met standards.
,Uptown Eye Specialists,7900 Hurontario Street,Suite 401,Brampton,ON,L6Y0P6,416-292-0330,EMDI Holdings Inc. , Ophthalmic Ultrasound,2025-05-22,2025-09-08,Met standards.
,SCOPE Clinic,470 Chrysler Drive,Unit 12,Brampton,ON,L6S 0C1,905-790-9030,SCOPE Cinic Inc.,GI-Endoscopy,2025-07-15,2026-04-10,Pre-licensing inspection passed and approved for operation
,One Vascular - Burlington,2951 Walker's Line,Suite 105,Burlington,ON,L7M4Y1,905-592-3955,One Vascular Corp. ," Obs/Gyn Ultrasound, Vascular Ultrasound",2022-04-13,2022-08-23,Met standards.
,Wentworth-Halton X-Ray and Ultrasound Inc.,760 Brant Street,Suites 2 & 3,Burlington,ON,L7R4B7,905-637-7606,Wentworth-Halton X-Ray and Ultrasound Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2023-03-16,2023-06-21,Met standards.
,Wentworth-Halton X-Ray and Ultrasound Inc.,1960 Appleby Line,Unit 14,Burlington,ON,L7L0B7,905-331-5438,Wentworth-Halton X-Ray and Ultrasound Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2022-05-12,2022-07-05,Met standards.
,Peak Sleep Burlington,809 Brant Street,2nd Floor,Burlington,ON,L7R2J4,905-338-3331,1360397 Ontario Ltd. , Sleep Studies,2022-11-23,2023-02-01,Met standards.
,Wentworth-Halton X-Ray and Ultrasound Inc.,2200 Fairview Street,Suite 108,Burlington,ON,L7R4H9,905-333-6700,Wentworth-Halton X-Ray and Ultrasound Inc. ," Radiography, General Ultrasound",2023-03-09,2023-06-21,Met standards.
,KMH Cardiology Centres Inc.,3155 Harvester Road,Suite 106,Burlington,ON,L7N3V2,905-855-1860,KMH Cardiology Centres Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2023-03-07,2023-05-01,Met standards.
,StL Diagnostic Imaging,3155 Harvester Road,Suite 310,Burlington,ON,L7N3V2,800-268-5804,StL Diagnostic Imaging Inc. ," Mobile Radiography, Mobile Obs/Gyn Ultrasound",2023-09-20,2023-11-20,Met standards.
,ONE Fertility,3210 Harvester Road,,Burlington,ON,L7N3T1,905-634-4440,2189299 Ontario Inc. , General Ultrasound,2023-09-22,2023-11-22,Met standards.
,True North Imaging - Burlington Diagnostic Imaging,3115 Harvester Road,3rd Floor,Burlington,ON,L7N3N8,289-337-4888,Clearview Diagnostic Imaging Inc. , Obs/Gyn Ultrasound,2025-11-07,2025-12-05,Met standards.
,StL Diagnostic Imaging,3155 Harvester Road,Suite 310,Burlington,ON,L7N3V2,905-637-6608,StL Diagnostic Imaging Inc. ," Radiography, General Ultrasound, Vascular Ultrasound",2025-02-27,2025-05-29,Met standards.
,BLC Medical Specialists,3155 Harvester Road,Suite 401,Burlington,ON,L7N3V2,905-639-3209,Dr. Jacob Gelberg Medicine Professional Corporation ," Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",2025-10-24,2026-01-28,Met standards.
,Wentworth-Halton X-Ray and Ultrasound Inc.,2951 Walkers Line,,Burlington,ON,L7M4Y1,905-336-2202,Wentworth-Halton X-Ray and Ultrasound Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound",2026-01-19,2026-04-10,Met standards.
,GI Health Centre,1960 Appleby Line,Unit 32,Burlington,ON,L7L0B7,905-335-1888,GI Health Centre Inc. , GI-Endoscopy,2025-11-20,2025-10-31,Pre-licensing inspection passed and approved for operation
,Medi-Share Inc.,1986 Cedar Creek Road,,Cambridge,ON,N1R5S5,519-740-3336,Medi-Share Inc. , Mobile Vascular Ultrasound,2016-01-29,2016-06-08,Met standards.
,Cambridge Diagnostic Imaging Inc.,167 Hespeler Road,,Cambridge,ON,N1R3H7,519-622-0234,Cambridge Diagnostic Imaging Inc. ," Radiography, General Ultrasound, Vascular Ultrasound",2022-04-05,2022-06-27,Met standards.
,Cambridge Medical Imaging,614 Coronation Boulevard,Suite 103,Cambridge,ON,N1R3E8,519-740-1790,2772721 Ontario Inc. ," Radiography, General Ultrasound, Vascular Ultrasound, Bone Mineral DXA, Mammography",2022-03-17,2022-07-29,Met standards.
,Coronation X-Ray and Ultrasound,745 Coronation Boulevard,,Cambridge,ON,N1R0B6,519-623-6060,Clearview Diagnostic Imaging Inc. ," Radiography, General Ultrasound",2022-06-17,2022-10-19,Met standards.
,Canamera X-Ray and Ultrasound,350 Conestoga Boulevard,Unit B9,Cambridge,ON,N1R7L7,519-623-9464,Clearview Diagnostic Imaging Inc. ," Radiography, General Ultrasound, Bone Mineral DXA, Mammography, Vascular Ultrasound",2023-11-08,2024-01-09,Met standards.
,PEAK Sleep Cambridge,33 Blair Road,,Cambridge,ON,N1S2H8,905-338-3331,Sleep Clinic Kitchener Inc. , Sleep Studies,2024-12-20,2025-02-25,Met standards.
,Dundas Medical Imaging,60 Hatt Street,Suite 201,Dundas,ON,L9H7T6,905-627-4625,2382139 Ontario Inc. ," Radiography, General Ultrasound, Vascular Ultrasound, Mammography",2024-11-08,2024-12-15,Met standards.
,Toronto Sleep Institute,1929 Bayview Avenue,Suite G30,East York,ON,M4G3E8,416-488-6980,MedSleep Inc. , Sleep Studies,2023-09-07,2023-11-24,Met standards.
,York X-Ray Management Limited,1450 O'Connor Drive,"Building 1, Unit 12",East York,ON,M4B2T8,416-759-3223,York X-Ray Management Limited ," Bone Mineral DXA, Radiography, General Ultrasound, Vascular Ultrasound",2025-03-06,2025-05-29,Met standards.
,Old Mill Radiology and Ultrasound Services,230 Browns Line,,Etobicoke,ON,M8W3T4,416-781-2050,2456462 Ontario Limited , Radiography,2012-02-28,2012-04-05,Met standards.
,Ontario Radiology (OR) - Rexdale,123 Rexdale Boulevard,Unit 6,Etobicoke,ON,M9W1P1,416-746-3828,2558874 Ontario Inc. ," Bone Mineral DXA, Radiography, General Ultrasound",2022-03-24,2022-07-11,Met standards.
,One Vascular Etobicoke,3280 Bloor Street West,Suite 1070,Etobicoke,ON,M8X2X3,416-516-4399,One Vascular Etobicoke Corp. ," Vascular Ultrasound, General Ultrasound",2022-09-12,2022-11-02,Met standards.
,Dr. S.L. Abel,3101 Bloor Street West,Suite 401,Etobicoke,ON,M8X2W2,416-239-1968,Dr. Selwyn L. Abel , Ophthalmic Ultrasound,2022-03-16,2022-06-01,Met standards.
,Vitacorp Diagnostic Inc.,1243 Islington Avenue,Suite 603,Etobicoke,ON,M8X1Y9,416-762-3818,Vitacorp Diagnostic Inc. ," Radiography, General Ultrasound, Vascular Ultrasound",2022-06-09,2022-08-19,Met standards.
,Brain & Sleep Diagnostic Centre Inc,135 Queen's Plate Drive,Suite 140,Etobicoke,ON,M9W6V1,416-231-5770,Mr. Udaya Shankar Padmakaran , Sleep Studies,2022-09-24,2022-12-07,Met standards.
,ONTARIO IMAGING - AKRON,2318 Lake Shore Boulevard West,Basement,Etobicoke,ON,M8V1B5,416-252-0621,Taj Imaging Inc. , Radiography,2025-12-11,2026-02-17,Met standards.
,Cardiovascular Care Centre Inc.,200 Ronson Drive,Suite 104,Etobicoke,ON,M9W5Z9,416-740-2500,Cardiovascular Care Centre Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2022-11-25,2023-01-24,Met standards.
,Trinity Medical Imaging,1255 The Queensway,Unit 16A,Etobicoke,ON,M8Z1S1,416-253-5111,Trinity Medical Imaging Inc. ," Radiography, General Ultrasound",2023-02-27,2023-04-25,Met standards.
,Metro Radiology (Lakeshore),3170 Lake Shore Boulevard West,Suite 102,Etobicoke,ON,M8V3X8,416-781-2050,2456462 Ontario Limited ," Bone Mineral DXA, Fluoroscopy, Radiography, General Ultrasound",2023-07-20,2023-11-01,Met standards.
,Kingsway Eye Associates,3101 Bloor Street West,Suite 401,Etobicoke,ON,M8X2W2,416-239-1968,Iizuka Medicine Professional Corporation , Ophthalmic Ultrasound,2023-07-21,2023-10-04,Met standards.
,Royal York X-Ray and Ultrasound,1436 Royal York Road,Suite 103,Etobicoke,ON,M9P3A9,416-247-5486,2518621 Ontario Inc. ," Radiography, General Ultrasound",2023-09-06,2024-01-09,Met standards.
,Queensway Sleep Laboratory,190 Sherway Drive,Suite 205,Etobicoke,ON,M9C5N2,416-622-3266,MedSleep Inc. , Sleep Studies,2023-06-28,2023-09-21,Met standards.
,Evans Radiology Services,233 Evans Avenue,,Etobicoke,ON,M8Z1J6,416-252-5885,Workplace Medical Corp. , Radiography,2023-11-30,2024-02-20,Met standards.
,Etobicoke Diagnostic Imaging,110 Queen's Plate Drive,Unit 1-4,Etobicoke,ON,M9W0B4,647-288-4547,Clearview Diagnostic Imaging Inc. ," Radiography, General Ultrasound",2023-11-06,2023-11-06,Met standards.
,Ontario Diagnostic Centre (ODC) - Etobicoke,85 The East Mall,Suite LF-01,Etobicoke,ON,M8Z5W4,416-621-3961,2540794 Ontario Inc. ," Mammography, General Ultrasound, Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2023-12-08,2024-03-04,Met standards.
,Ontario Diagnostic Centre (ODC) - Etobicoke,85 The East Mall,Suite LF-01,Etobicoke,ON,M8Z5W4,416-621-3961,2540794 Ontario Inc. ," Bone Mineral DXA, Radiography, Pulmonary Function B - Lung Volumes & Diffusion",2023-12-08,2024-03-05,Met standards.
,E & R Ultrasound,968 Albion Road,,Etobicoke,ON,M9V1A7,416-613-8595,E & R Ultrasound Inc. ," Radiography, General Ultrasound",2024-01-25,2024-04-04,Met standards.
,True North Imaging - Generation Fertility Toronto West,56 Aberfoyle Crescent,Unit 300,Etobicoke,ON,M8X2W4,905-707-1777,Clearview Diagnostic Imaging Inc. , General Ultrasound,2024-03-10,2024-03-10,Facility has not been assessed during current ownership.
,Hitek Medical Imaging,245 Dixon Road,Suite 107,Etobicoke,ON,M9P2M4,416-248-6696,High-Tech Medical Imaging Inc. ," Radiography, General Ultrasound",2024-10-04,2025-01-31,Met standards.
,Ontario Radiology (OR) - Albion,1525 Albion Road,Lower Level 4,Etobicoke,ON,M9V5G5,416-741-5661,Medscan Medical Imaging Inc. ," Bone Mineral DXA, Fluoroscopy, Radiography, General Ultrasound, Vascular Ultrasound, Mammography",2024-11-26,2025-01-20,Met standards.
,Richmond Gardens X-Ray and Ultrasound,1735 Kipling Avenue,Suite 202,Etobicoke,ON,M9R2Y8,416-241-9137,10375659 Canada Inc. ," Mammography, Radiography, General Ultrasound",2025-02-13,2025-05-27,Met standards.
,Humber Bay Medical Imaging,3101 Bloor Street West,Suite 103,Etobicoke,ON,M8X2W2,416-239-3568,1000134213 Ontario Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound",2025-01-13,2025-05-08,Met standards.
,Richmond Gardens X-Ray & Ultrasound,1735 Kipling Avenue,Suite 202,Etobicoke,ON,M9R2Y8,416-241-9137,10375659 Canada Inc. , Bone Mineral DXA,2025-02-13,2025-06-02,Met standards.
,Toronto Queensway Ultrasound & X-Ray Diagnostics Ltd.,523 The Queensway,Suite 2,Etobicoke,ON,M8Y1J7,416-252-2225,Toronto Queensway Ultrasound & X-Ray Diagnostics Ltd. ," Radiography, General Ultrasound",2025-06-12,2025-08-01,Met standards.
,Ontario Radiology (OR) - Humber,100 Humber College Boulevard,Suite 106,Etobicoke,ON,M9V5G4,416-745-4550,Medscan Medical Imaging Inc. ," Radiography, General Ultrasound",2025-07-10,2025-10-15,Met standards.
,Etobicoke Brampton Sleep Clinic,106 Humber College Boulevard,Suite 202,Etobicoke,ON,M9V4E4,416-742-0680,2079735 Ontario Inc. , Sleep Studies,2025-05-09,2025-08-01,Met standards.
,Create West Fertility Inc.,56 Aberfoyle Crescent,Suite 100,Etobicoke,ON,M8X2W4,416-231-4100,Create West Fertility Inc. , General Ultrasound,2025-11-04,2026-02-17,Met standards.
,Life Scan Diagnostic and Imaging Clinic Inc.,5525 Eglinton Avenue West,Unit 122,Etobicoke,ON,M9C5K5,416-743-3222,Life Scan Diagnostic and Imaging Clinic Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2025-05-22,2025-05-22,Facility has not been assessed during current ownership.
,Uptown Eye Specialists (Etobicoke),135 Queen's Plate Drive,Unit 120,Etobicoke,ON,M9W6V1,416-292-0330,Uptown Eye Specialists Inc. , Ophthalmic Ultrasound,2025-09-01,2025-09-01,Facility has not been assessed during current ownership.
,Kingsway Eye Associates,3101 Bloor Street West,Unit 401,Etobicoke,ON,M8X2W2,416-239-1968,Nima Noordeh Medicine Professional Corporation , Ophthalmic Ultrasound,2025-11-22,2025-11-22,Facility has not been assessed during current ownership.
,Kipling Heights Diagnostic Imaging,2291 Kipling Avenue,Unit 121,Etobicoke,ON,M9W4L6,416-244-8862,Specialty Medical Partners (HVI) Inc. ," Bone Mineral DXA, Fluoroscopy, Radiography, General Ultrasound",2025-04-17,2025-04-17,Facility has not been assessed during current ownership.
,Greater Niagara Medical Imaging,37 Main Street East,Unit 4,Grimsby,ON,L3M1M7,289-797-2330,Greater Niagara Medical Imaging Inc. ," Radiography, General Ultrasound",2024-01-12,2024-02-27,Met standards.
,Charlton X-Ray and Ultrasound,25 Charlton Avenue East,Suite G2,Hamilton,ON,L8N1Y2,905-528-1465,Imagus Inc. ," Fluoroscopy, Radiography, General Ultrasound, Vascular Ultrasound",2022-06-22,2022-09-16,Met standards.
,Wilson Medical Centre X-Ray & Ultrasound,130 Wilson Street,,Hamilton,ON,L8R1E2,905-526-6250,Wilson Medical Centre Inc. ," Bone Mineral DXA, Radiography, General Ultrasound",2022-06-14,2022-08-08,Met standards.
,Greater Niagara Medical Imaging,631 Queenston Road,Suite 303,Hamilton,ON,L8K6R5,905-560-8434,Greater Niagara Medical Imaging Inc. ," Radiography, General Ultrasound, Vascular Ultrasound",2023-02-15,2023-05-21,Met standards.
,Wentworth-Halton X-Ray and Ultrasound Inc.,723 Rymal Road West,Unit 600,Hamilton,ON,L9B2W2,905-388-0106,Wentworth-Halton X-Ray and Ultrasound Inc. ," Radiography, General Ultrasound",2023-03-27,2023-06-16,Met standards.
,Specialized Ultrasound in Gynecology & Obstetrics,200 James Street South,Suite 305 and 309,Hamilton,ON,L8P3A9,905-522-2220,2215429 Ontario Ltd. ," General Ultrasound, Radiography",2023-09-01,2023-11-23,Met standards.
,Sharda Eye Institute,1 Young Street,Suite 302,Hamilton,ON,L8N1T8,905-527-5559,Sharda Medicine Professional Corporation , Ophthalmic Ultrasound,2023-10-20,2024-01-09,Met standards.
,Hamilton Diagnostic Imaging,304 Victoria Avenue North,Suite 203,Hamilton,ON,L8L5G4,905-546-5644,Hamilton Diagnostic Imaging Inc. ," Mammography, Radiography, General Ultrasound",2024-12-01,2024-12-01,Facility has not been assessed during current ownership.
,Greater Niagara Medical Imaging,260 Nebo Road,Unit 5,Hamilton,ON,L8W3K5,905-318-4082,Greater Niagara Medical Imaging Inc. , General Ultrasound,2025-04-23,2025-07-25,Met standards.
,Hamilton Eye Physicians and Surgeons,1149 Barton Street East,Unit X2B,Hamilton,ON,L8H2V2,289-860-2200,Dr. Brian J Chan Medicine Professional Corporation , Ophthalmic Ultrasound,2025-03-01,2025-03-01,Facility has not been assessed during current ownership.
,Alfa-Scan Hamilton,1223 Barton Street East,,Hamilton,ON,L8H2V4,905-549-5611,Praesentia Diagnostic Corp. ," Bone Mineral DXA, Fluoroscopy, Radiography, General Ultrasound",2024-10-07,2024-12-06,Met standards.
,Wentworth-Halton X-Ray and Ultrasound Inc.,723 Rymal Road West,Suite 600,Hamilton,ON,L9B2W2,905-547-3511,Wentworth-Halton X-Ray and Ultrasound Inc. ," Radiography, General Ultrasound",2025-01-31,2025-05-29,Met standards.
,Wentworth-Halton X-Ray and Ultrasound Inc.,115 Parkdale Avenue South,,Hamilton,ON,L8K6K4,905-547-3511,Wentworth-Halton X-Ray and Ultrasound Inc. , General Ultrasound,2025-01-31,2025-05-28,Met standards.
,Hamilton Vascular Laboratory,849 Upper Wentworth Street,Suite 400,Hamilton,ON,L9A5H4,905-538-2260,1000812819 Ontario Inc. ," Vascular Ultrasound, General Ultrasound",2026-01-29,2024-09-01,Facility has not been assessed during current ownership.
,Wentworth-Halton X-Ray and Ultrasound Inc.,1 Young Street,Suite 105,Hamilton,ON,L8N1T8,905-522-2344,Wentworth-Halton X-Ray and Ultrasound Inc. , Radiography,2025-01-31,2025-05-21,Met standards.
,Sleep Disorders Clinic - Hamilton,55 Frid Street,Unit 7,Hamilton,ON,L8P4M3,905-529-2259,Gottschalk Health Services Inc. , Sleep Studies,2025-06-20,2025-09-09,Met standards.
,Greater Niagara Medical Imaging,260 Nebo Road,Unit 5,Hamilton,ON,L8W3K5,905-318-4082,Greater Niagara Medical Imaging Inc. , Radiography,2025-04-23,2025-07-25,Met standards.
,Greater Niagara Medical Imaging,260 Nebo Road,Unit 5,Hamilton,ON,L8W3K5,905-318-4082,Greater Niagara Medical Imaging Inc. ," Radiography, General Ultrasound, Bone Mineral DXA, Fluoroscopy",2025-04-23,2025-07-21,Met standards.
,Limeworth X-Ray & Ultrasound,849 Upper Wentworth Street,Suite 102,Hamilton,ON,L9A5H4,905-574-7755,Limeworth X-Ray and Ultrasound Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound",2025-09-04,2025-11-13,Met standards.
,Wentworth-Halton X-Ray and Ultrasound Inc.,1 Young Street,Suite 105,Hamilton,ON,L8N1T8,905-522-2344,Wentworth-Halton X-Ray and Ultrasound Inc. ," Fluoroscopy, Radiography, General Ultrasound, Vascular Ultrasound",2025-01-31,2025-05-28,Met standards.
,Main Ultrasound,1057 Main Street West,Suite 101,Hamilton,ON,L8S1B7,289-396-1622,Rolando R. Cepeda Medicine Professional Corporation , Obs/Gyn Ultrasound,2025-10-23,2025-12-05,Met standards.
,Canadian Diagnostic Network Inc.,1380 Upper Canada Street,,Kanata,ON,K2T0N7,613-824-3252,Canadian Diagnostic Network Inc. ," Bone Mineral DXA, Radiography, General Ultrasound",2016-03-14,2016-07-13,Met standards.
,Canadian Diagnostic Network,525 Legget Drive,,Kanata,ON,K2K2W2,613-824-3252,Canadian Medical Licences Inc. ," Bone Mineral DXA, Radiography, General Ultrasound",2014-06-28,2014-06-28,Facility has not been assessed during current ownership.
,Canadian Diagnostic Network,300 Legget Drive,,Kanata,ON,K2K1Y5,613-824-3252,Canadian Medical Licences Inc. ," Radiography, General Ultrasound",2017-07-19,2018-04-17,Met standards.
,Canadian Diagnostic Network,99 Kakulu Road,,Kanata,ON,K2L3C8,416-824-3252,Canadian Medical Licences Inc. ," Radiography, General Ultrasound",2014-06-28,2014-06-28,Facility has not been assessed during current ownership.
