X,Y,OBJECTID,gislink,CATEGORY,type,PermitNo,SUBJECT,Status,Purpose,IssuedDate,BldgValue,Unit,House,Street,completed_date,CREATED_DATE,ParcelType,AUC,ActualUse,Neighbourhood,X_LONG,Y_LAT,ContactType,Name,mailing_address,phone,cell,email,fax,AUC_Group,PermitType
473006.2566,5365443.6735,1272,09691034,BUILDING PERMITS,BP-INTERIOR ONLY,BP059952,OFFICES/PHYSIOTHERAPIST CLINIC/COSMETIC MEDICAL,ACTIVE,"UNIT 200: CHANGE OF USE OF ONE OFFICE FROM ""CHIROPRACTIC ROOM"" TO ""COSMETIC/MEDICAL"". 
BCBC 2024",20260303,0,,775,TOPAZ AVE,,2026/02/04 00:00:00+00,LA,208,OFFICE BUILDING (PRIMARY USE),Burnside,-123.3649940359412,48.44155691727109,APPLICANT,TAYLOR'D AESTHETIC TATTOOS,mailing,250-551-4471,,tats.inquiries@gmail.com,,Commercial,Building Permit (BP)
475128.5993,5365928.5985,1288,V06001008,BUILDING PERMITS,SP-SIGN PERMIT,SP042862,HILLSIDE MALL - WALMART,COMPLETED,"REFACE PREVIOUSLY APPROVED ILLUMINATED FASCIA SIGN ON NORTH SIDE OF MALL
SIGN 1: 1.37M X 1.60M = 2.19M SQ ""WELL HEALTH MEDICAL CENTRES""",20260303,100,21,1644,HILLSIDE AVE,2026/05/04 00:00:00+00,2026/02/25 00:00:00+00,LA,213,SHOPPING CENTRE (REGIONAL),Oaklands,-123.33632626395853,48.44600690133147,APPLICANT,PERMIT WORLD,mailing,,,,,Commercial,Sign Permit (SP)
473557.9796,5362428.0171,1375,V01851022,BUILDING PERMITS,BP-INTERIOR ONLY,BP059846,41 UNIT CONDOMINIUM AND 8 COMMERCIAL UNITS,ACTIVE,"UNIT 104: CHANGE OF USE FROM RESTAURANT TO PHARMACY WITH INTERIOR ALTERATIONS
INCLUDING ALTERATIONS TO PARTITION WALL LAYOUT, WASHROOM 
ALTERATIONS, AND MINOR RELOCATION OF SOME FIRE ALARM SYSTEM DE",20260225,90000,,240,COOK ST,,2025/11/14 00:00:00+00,SCP,,,Fairfield,-123.35734384842283,48.41445046876256,APPLICANT,TENANT IMPROVEMENT CONSULTING INC,mailing,,,,,,Building Permit (BP)
473557.9796,5362428.0171,1376,028-474-686,BUILDING PERMITS,BP-INTERIOR ONLY,BP059846,41 UNIT CONDOMINIUM AND 8 COMMERCIAL UNITS,ACTIVE,"UNIT 104: CHANGE OF USE FROM RESTAURANT TO PHARMACY WITH INTERIOR ALTERATIONS
INCLUDING ALTERATIONS TO PARTITION WALL LAYOUT, WASHROOM 
ALTERATIONS, AND MINOR RELOCATION OF SOME FIRE ALARM SYSTEM DE",20260225,90000,104,240,COOK ST,,2025/11/14 00:00:00+00,SL,216,COMMERCIAL STRATA-LOT,Fairfield,-123.35734384841966,48.41445046831273,APPLICANT,TENANT IMPROVEMENT CONSULTING INC,mailing,,,,,Commercial,Building Permit (BP)
473857.3145,5363477.4016,1584,07494033,BUILDING PERMITS,SP-SIGN PERMIT,SP042859,OFFICE BUILDING/RESTAURANT/HEALTH CLINIC - MILE ZERO TOURS,ACTIVE,"INSTALL TWO NEW FASCIA SIGNS
SIGN 1: 0.6M X 2.79 M = 1.67 M SQ ""MILE ZERO TOURS""
SIGN 2: 0.6M X 2.79 M = 1.67 M SQ """"MILE ZERO TOURS""",20260212,,108,1175,COOK ST,,2026/02/06 00:00:00+00,LA,208,OFFICE BUILDING (PRIMARY USE),Fernwood,-123.3533640693734,48.423903597474876,APPLICANT,FASTSIGNS VICTORIA,mailing,,,,,Commercial,Sign Permit (SP)
473857.3145,5363477.4016,1593,07494033,BUILDING PERMITS,SP-SIGN PERMIT,SP042859,OFFICE BUILDING/RESTAURANT/HEALTH CLINIC - MILE ZERO TOURS,ACTIVE,"INSTALL TWO NEW FASCIA SIGNS
SIGN 1: 0.6M X 2.79 M = 1.67 M SQ ""MILE ZERO TOURS""
SIGN 2: 0.6M X 2.79 M = 1.67 M SQ """"MILE ZERO TOURS""",20260212,,,1175,COOK ST,,2026/02/06 00:00:00+00,LA,208,OFFICE BUILDING (PRIMARY USE),Fernwood,-123.3533640693734,48.423903597474876,APPLICANT,FASTSIGNS VICTORIA,mailing,,,,,Commercial,Sign Permit (SP)
472514.996,5365705.3035,1717,V07361013,BUILDING PERMITS,BP-INTERIOR ONLY,BP059891,"MIXED USE RESIDENTIAL & COMMERCIAL (154 UNITS) DAYCARE / HEALTH CENTRE/ MRI IMAGING ""MARI IMAGING""",ACTIVE,"UNIT 100: FIRST TENANT IMPROVEMENT FOR MEDICAL OFFICE FOR ""MARI IMAGING - CROSSTOWN MRI""
INCLUDING ALTERATIONS TO PARTITION WALL LAYOUT, WASHROOM ALTERATIONS, AND MINOR RELOCATION OF SOME FIRE ALARM ",20260204,450000,100,584,BURNSIDE RD E,,2025/12/24 00:00:00+00,SCP,,,Burnside,-123.37165360899048,48.443889360195136,APPLICANT,CONTINUUM ARCHITECTURE,mailing,(250) 388-0056,,info@kpljames.com,250.388.9771,,Building Permit (BP)
472514.996,5365705.3035,1723,V07361013,BUILDING PERMITS,BP-INTERIOR ONLY,BP059891,"MIXED USE RESIDENTIAL & COMMERCIAL (154 UNITS) DAYCARE / HEALTH CENTRE/ MRI IMAGING ""MARI IMAGING""",ACTIVE,"UNIT 100: FIRST TENANT IMPROVEMENT FOR MEDICAL OFFICE FOR ""MARI IMAGING - CROSSTOWN MRI""
INCLUDING ALTERATIONS TO PARTITION WALL LAYOUT, WASHROOM ALTERATIONS, AND MINOR RELOCATION OF SOME FIRE ALARM ",20260204,450000,,584,BURNSIDE RD E,,2025/12/24 00:00:00+00,SCP,,,Burnside,-123.37165360899048,48.443889360195136,APPLICANT,CONTINUUM ARCHITECTURE,mailing,(250) 388-0056,,info@kpljames.com,250.388.9771,,Building Permit (BP)
471985.179,5362816.0642,1893,02123016,BUILDING PERMITS,EP-RESIDENTIAL,EP083642,,ACTIVE,"During remediation work performed by the remediation contractor, the subfloor in the hallway was cut using a reciprocating saw. During this process, an electrical cable was accidentally damaged.

Po",20260126,1186,,206,OSWEGO ST,,2026/01/26 00:00:00+00,LA,050,MULTI-FAMILY - APARTMENT BLOCK,James Bay,-123.37862450650437,48.41787350027734,,,,,,,,Residential,Electrical Permit (EP)
475519.4389,5364090.7173,1957,07410009,BUILDING PERMITS,BP-INTERIOR ONLY,BP059787,OFFICE BUILDING,COMPLETED,"UNIT 200: CHANGE OF USE FROM OFFICE TO MEDICAL OFFICE, INCLUDES NEW PLUMBING FIXTURES.

PART 9/D OCCUPANCY
NO FIRE ALARM/NON-SPRINKLERED
BCBC 2024",20260120,500000,,1770,FORT ST,2026/04/27 00:00:00+00,2025/10/09 00:00:00+00,LA,208,OFFICE BUILDING (PRIMARY USE),Jubilee,-123.33093377687848,48.429488005550965,APPLICANT,CHRISTINE LINTOTT ARCHITECTS,mailing,,,,,Commercial,Building Permit (BP)
475519.4389,5364090.7173,1972,07410009,BUILDING PERMITS,BP-INTERIOR ONLY,BP059787,OFFICE BUILDING,COMPLETED,"UNIT 200: CHANGE OF USE FROM OFFICE TO MEDICAL OFFICE, INCLUDES NEW PLUMBING FIXTURES.

PART 9/D OCCUPANCY
NO FIRE ALARM/NON-SPRINKLERED
BCBC 2024",20260120,500000,200,1770,FORT ST,2026/04/27 00:00:00+00,2025/10/09 00:00:00+00,LA,208,OFFICE BUILDING (PRIMARY USE),Jubilee,-123.33093377687848,48.429488005550965,APPLICANT,CHRISTINE LINTOTT ARCHITECTS,mailing,,,,,Commercial,Building Permit (BP)
475593.8902,5364083.8641,2101,06388001,BUILDING PERMITS,SP-SIGN PERMIT,SP042439,PERSONAL SERVICES/COMMERCIAL/RETAIL/PHARMACY & CLINIC - FORT ROYAL PHARMACY,ACTIVE,"TO INSTALL ONE NON-ILLUMINATED FASCIA SIGN

0.37M X 0.51M = 0.19M SQ MORTAR & PESTLE (IMAGE)
3.81M X 0.27M = 1.02M SQ ""FORT ROYAL PHARMACY""",20260113,,,1801,FORT ST,,2019/11/28 00:00:00+00,LA,200,STORE(S) AND SERVICE - COMMERCIAL,Jubilee,-123.32992694560656,48.42942924203895,APPLICANT,FORT ROYAL PHARMACY,mailing,,,,,Commercial,Sign Permit (SP)
475593.8902,5364083.8641,2116,06388001,BUILDING PERMITS,SP-SIGN PERMIT,SP042439,PERSONAL SERVICES/COMMERCIAL/RETAIL/PHARMACY & CLINIC - FORT ROYAL PHARMACY,ACTIVE,"TO INSTALL ONE NON-ILLUMINATED FASCIA SIGN

0.37M X 0.51M = 0.19M SQ MORTAR & PESTLE (IMAGE)
3.81M X 0.27M = 1.02M SQ ""FORT ROYAL PHARMACY""",20260113,,,1803,FORT ST,,2019/11/28 00:00:00+00,LA,200,STORE(S) AND SERVICE - COMMERCIAL,Jubilee,-123.32992694560656,48.42942924203895,APPLICANT,FORT ROYAL PHARMACY,mailing,,,,,Commercial,Sign Permit (SP)
473690.5294,5362558.2832,2169,V02251024,BUILDING PERMITS,EP-COMMERCIAL,EP083452,,ACTIVE,"Electrical Demo and installation of Dental Office Renovation.
Scope of work includes:
- Electrical Demo of Required Areas
- Tracing circuits, and making safe. 
- Supply and installation of electri",20260108,71300,,351,COOK ST,,2026/01/08 00:00:00+00,LA,202,STORE(S) & LIVING QUARTERS,Fairfield,-123.35556074580352,48.415627938539345,,,,,,,,Commercial,Electrical Permit (EP)
473690.5294,5362558.2832,2171,V02251024,BUILDING PERMITS,EP-COMMERCIAL,EP083452,,ACTIVE,"Electrical Demo and installation of Dental Office Renovation.
Scope of work includes:
- Electrical Demo of Required Areas
- Tracing circuits, and making safe. 
- Supply and installation of electri",20260108,71300,,359,COOK ST,,2026/01/08 00:00:00+00,LA,202,STORE(S) & LIVING QUARTERS,Fairfield,-123.35556074580352,48.415627938539345,,,,,,,,Commercial,Electrical Permit (EP)
473690.5294,5362558.2832,2246,V02251024,BUILDING PERMITS,BP-INTERIOR ONLY,BP059855,COMMERCIAL/RESIDENTIAL/DENTAL OFFICE,ACTIVE,"UNIT 355 AND 359: COMBINE UNITS TO EXPAND EXISTING DENTAL OFFICE IN UNIT 359 INTO UNIT 355. RENOVATE BASEMENT LEVEL INCLUDING NEW WASHROOM.

BCBC 2024, PART 9 (ARCHITECT DESIGNED TO PART 3), GROUP D",20260106,218000,,359,COOK ST,,2025/11/25 00:00:00+00,LA,202,STORE(S) & LIVING QUARTERS,Fairfield,-123.35556074580352,48.415627938539345,APPLICANT,HILLEL ARCHITECTURE INC,mailing,250.592.9198,,,,Commercial,Building Permit (BP)
473690.5294,5362558.2832,2247,V02251024,BUILDING PERMITS,BP-INTERIOR ONLY,BP059855,COMMERCIAL/RESIDENTIAL/DENTAL OFFICE,ACTIVE,"UNIT 355 AND 359: COMBINE UNITS TO EXPAND EXISTING DENTAL OFFICE IN UNIT 359 INTO UNIT 355. RENOVATE BASEMENT LEVEL INCLUDING NEW WASHROOM.

BCBC 2024, PART 9 (ARCHITECT DESIGNED TO PART 3), GROUP D",20260106,218000,,351,COOK ST,,2025/11/25 00:00:00+00,LA,202,STORE(S) & LIVING QUARTERS,Fairfield,-123.35556074580352,48.415627938539345,APPLICANT,HILLEL ARCHITECTURE INC,mailing,250.592.9198,,,,Commercial,Building Permit (BP)
473690.5294,5362558.2832,2261,V02251024,BUILDING PERMITS,BP-INTERIOR ONLY,BP059855,COMMERCIAL/RESIDENTIAL/DENTAL OFFICE,ACTIVE,"UNIT 355 AND 359: COMBINE UNITS TO EXPAND EXISTING DENTAL OFFICE IN UNIT 359 INTO UNIT 355. RENOVATE BASEMENT LEVEL INCLUDING NEW WASHROOM.

BCBC 2024, PART 9 (ARCHITECT DESIGNED TO PART 3), GROUP D",20260106,218000,,355,COOK ST,,2025/11/25 00:00:00+00,LA,202,STORE(S) & LIVING QUARTERS,Fairfield,-123.35556074580352,48.415627938539345,APPLICANT,HILLEL ARCHITECTURE INC,mailing,250.592.9198,,,,Commercial,Building Permit (BP)
475315.8468,5365816.5097,2324,08601113,BUILDING PERMITS,BP-INTERIOR ONLY,BP059859,MEDICAL/RETAIL OFFICE BUILDING,ACTIVE,"UNIT 357: TENANT IMPROVEMENTS FOR VICTORIA GYNECOLOGY INCLUDING ALTERATIONS TO PARTITION WALL LAYOUT, WASHROOM 
ALTERATIONS, AND MINOR RELOCATION OF SOME FIRE ALARM SYSTEM DEVICES. 
NO STRUCTURAL AL",20251224,200000,,3066,SHELBOURNE ST,,2025/11/26 00:00:00+00,SCP,,,Oaklands,-123.33378762611224,48.445005885124296,APPLICANT,HILLEL ARCHITECTURE INC,mailing,250.592.9198,,,,,Building Permit (BP)
475315.8468,5365816.5097,2325,017-431-018,BUILDING PERMITS,BP-INTERIOR ONLY,BP059859,MEDICAL/RETAIL OFFICE BUILDING,ACTIVE,"UNIT 357: TENANT IMPROVEMENTS FOR VICTORIA GYNECOLOGY INCLUDING ALTERATIONS TO PARTITION WALL LAYOUT, WASHROOM 
ALTERATIONS, AND MINOR RELOCATION OF SOME FIRE ALARM SYSTEM DEVICES. 
NO STRUCTURAL AL",20251224,200000,357,3066,SHELBOURNE ST,,2025/11/26 00:00:00+00,SL,216,COMMERCIAL STRATA-LOT,Oaklands,-123.33378762611224,48.445005885124296,APPLICANT,HILLEL ARCHITECTURE INC,mailing,250.592.9198,,,,Commercial,Building Permit (BP)
476072.1077,5364425.4402,2687,06396095,BUILDING PERMITS,BP-INTERIOR ONLY,BP059851,MEDICAL OFFICES/RETAIL/RESTAURANT,COMPLETED,"FIRE ALARM PANEL, ANNUNCIATOR PANEL, BELLS, AND SMOKE DETECTORS REPLACEMENT. 
BCBC 2024
",20251126,,,1964,FORT ST,2026/04/02 00:00:00+00,2025/11/19 00:00:00+00,SCP,,,Jubilee,-123.32348191344175,48.43252053829428,APPLICANT,CANTEC FIRE ALARMS,mailing,,,,,,Building Permit (BP)
472028.8284,5364275.673,3041,V00791034,BUILDING PERMITS,BP-INTERIOR ONLY,BP059795,171 UNITS TOTAL- TWO RESIDENTAL TOWERS,COMPLETED,"UNIT 905 BATHROOM RENOVATION, REMOVE TUB BATHTUB AND RELOCATE WASHER AND DRYER. ADD NEW PARTITION WALL, REPLACE SHOWER WITH NEW. NO ALTERATIONS TO FIRE SEPARATIONS. SPRINKLED. FIRE ALARM

BCBC 2024",20251106,50000,,373,TYEE RD,2026/01/16 00:00:00+00,2025/10/15 00:00:00+00,SCP,,,Victoria West,-123.37813198439154,48.43100655346893,APPLICANT,LIGHTHOUSE KITCHENS LTD,mailing,,,,,,Building Permit (BP)
472028.8284,5364275.673,3042,027-840-638,BUILDING PERMITS,BP-INTERIOR ONLY,BP059795,171 UNITS TOTAL- TWO RESIDENTAL TOWERS,COMPLETED,"UNIT 905 BATHROOM RENOVATION, REMOVE TUB BATHTUB AND RELOCATE WASHER AND DRYER. ADD NEW PARTITION WALL, REPLACE SHOWER WITH NEW. NO ALTERATIONS TO FIRE SEPARATIONS. SPRINKLED. FIRE ALARM

BCBC 2024",20251106,50000,905,373,TYEE RD,2026/01/16 00:00:00+00,2025/10/15 00:00:00+00,SL,030,STRATA LOT - RESIDENCE (CONDOMINIUM),Victoria West,-123.37813198439154,48.43100655346893,APPLICANT,LIGHTHOUSE KITCHENS LTD,mailing,,,,,Residential,Building Permit (BP)
475791.8496,5364418.8322,3381,06398015,BUILDING PERMITS,BP-INTERIOR ONLY,BP059634,ROYAL JUBILEE HOSPITAL,ACTIVE,"INTERIOR ONLY RENAL CLINIC RENOVATION

BCBC 2024",20251017,1113600,,1952,BAY ST,,2025/07/09 00:00:00+00,LA,640,HOSPITALS,Jubilee,-123.32727028493389,48.4324503772014,APPLICANT,CONTINUUM ARCHITECTURE,mailing,,,,,"Civic, Institutional, and Recreational",Building Permit (BP)
473175.9929,5363194.1441,3743,028-593-855,BUILDING PERMITS,EP-COMMERCIAL,EP082623,,COMPLETED,"New lighting circuit for 2 new rooms in Registered massage therapy clinic New octagons in all 3 treatment rooms, new switch boxes for 2 new rooms. All existing receptacles in treatment rooms will be h",20250923,6000,101,777,BLANSHARD ST,2025/10/03 00:00:00+00,2025/09/23 00:00:00+00,SL,216,COMMERCIAL STRATA-LOT,Downtown,-123.3625550077003,48.421326668240354,,,,,,,,Commercial,Electrical Permit (EP)
473175.9929,5363194.1441,4343,V00011012,BUILDING PERMITS,BP-INTERIOR ONLY,BP059667,CONDOMINIUM/COMMERCIAL - VICTORIA WELLNESS,COMPLETED,"UNIT 101: ALTER WALLS TO ADD ADDITIONAL MEDICAL OFFICE TO SPACE.
D OCCUPANCY/PART 3/ FIRE ALARM/NON-SPRINKLERED
BCBC 2024",20250811,3500,,777,BLANSHARD ST,2025/11/06 00:00:00+00,2025/07/30 00:00:00+00,SCP,,,Downtown,-123.3625550077003,48.421326668240354,APPLICANT,1538976 BC LTD,mailing,,,,,,Building Permit (BP)
473175.9929,5363194.1441,4375,028-593-855,BUILDING PERMITS,BP-INTERIOR ONLY,BP059667,CONDOMINIUM/COMMERCIAL - VICTORIA WELLNESS,COMPLETED,"UNIT 101: ALTER WALLS TO ADD ADDITIONAL MEDICAL OFFICE TO SPACE.
D OCCUPANCY/PART 3/ FIRE ALARM/NON-SPRINKLERED
BCBC 2024",20250811,3500,101,777,BLANSHARD ST,2025/11/06 00:00:00+00,2025/07/30 00:00:00+00,SL,216,COMMERCIAL STRATA-LOT,Downtown,-123.3625550077003,48.421326668240354,APPLICANT,1538976 BC LTD,mailing,,,,,Commercial,Building Permit (BP)
475147.0539,5364573.4374,4964,07419038,BUILDING PERMITS,BP-COMPLEX,BP059572,17-UNIT CONDOMINIUM & OFFICE & PET CLINIC,ACTIVE,"BUILDING ENVELOPE REMEDIATION. REPLACE EXTERIOR WINDOWS AND PATIO DOORS, GUARDS, ASPHALT SHINGLE ROOFING, EXTERIOR RAILINGS AND VINYL MEMBRANE. REMOVE WOOD SIDING AND TRIM TO BE REPLACED WITH FIBRE CE",20250703,1500000,,1595,BAY ST,,2025/05/29 00:00:00+00,SCP,,,Fernwood,-123.33599630373067,48.4338161396023,APPLICANT,EDDA CREATIVE,mailing,250-858-3263,,john@eddacreative.ca,,,Building Permit (BP)
472653.3631,5365492.6643,4992,10730014,BUILDING PERMITS,SP-SIGN PERMIT,SP042808,ANIMAL HOSPITAL - MIDTOWN VETERINARY ANIMAL HOSPITAL,COMPLETED,"INSTAL 1 ILLUMINATED AND 1 NON ILLUMINATED FASCIA SIGNS AND REFACE 1 ILLUMINATED FREE STANDING SIGN

SIGN 1: 0.66M X 4.34M = 2.86M SQ FASCIA ""VETERINARY HOSPITAL""

SIGN 2: 1.81M X 1.30M = 2.35M SQ",20250702,,,691,BURNSIDE RD E,2025/09/03 00:00:00+00,2025/06/11 00:00:00+00,LA,208,OFFICE BUILDING (PRIMARY USE),Burnside,-123.36976875787396,48.441982420526955,,,,,,,,Commercial,Sign Permit (SP)
475315.8468,5365816.5097,5507,013-240-986,BUILDING PERMITS,BP-INTERIOR ONLY,BP059523,MEDICAL/RETAIL BUILDING,COMPLETED,"UNIT 260 - INTERIOR LAYOUT CHANGES TO NON LOAD BEARING WALLS. ADDITION OF ONE FIRE RATED WALL, NO PLUMBING CHANGES. 

BCBC 2024",20250530,25000,260,1641,HILLSIDE AVE,2025/12/10 00:00:00+00,2025/05/07 00:00:00+00,SL,216,COMMERCIAL STRATA-LOT,Oaklands,-123.33378762611224,48.445005885124296,APPLICANT,GRIFFIN RESTORATION SERVICES,mailing,,,,,Commercial,Building Permit (BP)
475315.8468,5365816.5097,5512,08601113,BUILDING PERMITS,BP-INTERIOR ONLY,BP059523,MEDICAL/RETAIL BUILDING,COMPLETED,"UNIT 260 - INTERIOR LAYOUT CHANGES TO NON LOAD BEARING WALLS. ADDITION OF ONE FIRE RATED WALL, NO PLUMBING CHANGES. 

BCBC 2024",20250530,25000,,1641,HILLSIDE AVE,2025/12/10 00:00:00+00,2025/05/07 00:00:00+00,SCP,,,Oaklands,-123.33378762611224,48.445005885124296,APPLICANT,GRIFFIN RESTORATION SERVICES,mailing,,,,,,Building Permit (BP)
