"FOLDERNUMBER","FOLDERTYPE","REPORTCODE","FOLDERSTATUS","APPLICATIONDATE","APPROVEDAPPLICATIONDATE","DECISIONDATE","COMPLETEDDATE","ROLLNUMBER","NEIGHBOURHOOD","UNIT","HOUSE","STREET","ADDRESS","PLAN","BLOCK","LOT","LEGAL","PROPERTY_NUMBER","UNITSCREATED"
"CMP00013","COMPLIANCE","NEW","COMPLETED","6/3/2008 12:00:00 AM","","6/6/2008 12:00:00 AM","6/6/2008 12:00:00 AM","4074507040001","LEGACY RIDGE / HARDIEVILLE","","704","FLORENCE HO LEONG CRES N","704 FLORENCE HO LEONG CRES N","0712108","8","20","PLAN 0712108 BLOCK 8 LOT 20","452806",""
"CMP00014","COMPLIANCE","NEW","COMPLETED","6/3/2008 12:00:00 AM","","6/6/2008 12:00:00 AM","6/6/2008 12:00:00 AM","2084900770001","RIVERSTONE","","77","RIVERVIEW CRES W","77 RIVERVIEW CRES W","0612599","17","18","PLAN 0612599 BLOCK 17 LOT 18","423328",""
"CMP00015","COMPLIANCE","NEW","COMPLETED","6/4/2008 12:00:00 AM","","6/6/2008 12:00:00 AM","6/6/2008 12:00:00 AM","2026801320001","HERITAGE HEIGHTS","","132","HERITAGE PT W","132 HERITAGE PT W","0312415","10","37","PLAN 0312415 BLOCK 10 LOT 37","401628",""
"CMP00016","COMPLIANCE","NEW","COMPLETED","6/4/2008 12:00:00 AM","","6/6/2008 12:00:00 AM","6/6/2008 12:00:00 AM","2022502540001","COPPERWOOD","","254","FIRELIGHT CRES W","254 FIRELIGHT CRES W","0714402","12","28","PLAN 0714402 BLOCK 12 LOT 28","453318",""
"CMP00017","COMPLIANCE","NEW","COMPLETED","6/5/2008 12:00:00 AM","","6/6/2008 12:00:00 AM","6/6/2008 12:00:00 AM","2062503180001","RIDGEWOOD","","318","SHERWOOD PL W","318 SHERWOOD PL W","8111265","2","27","PLAN 8111265 BLOCK 2 LOT 27","242287",""
"CMP00018","COMPLIANCE","NEW","COMPLETED","6/5/2008 12:00:00 AM","","6/6/2008 12:00:00 AM","6/6/2008 12:00:00 AM","2009905390001","PARADISE CANYON","","539","CANYON COVE W","539 CANYON COVE W","0514322","1","72","PLAN 0514322 BLOCK 1 LOT 72","418176",""
"CMP00019","COMPLIANCE","NEW","COMPLETED","6/5/2008 12:00:00 AM","","6/6/2008 12:00:00 AM","6/6/2008 12:00:00 AM","1206112590001","LONDON ROAD","","1259","6A AVE S","1259 6A AVE S","3740U","","12,13","PLAN 3740U LOTS 12 AND 13","322213",""
"CMP00020","COMPLIANCE","NEW","COMPLETED","6/5/2008 12:00:00 AM","","6/6/2008 12:00:00 AM","6/6/2008 12:00:00 AM","4220016020001","WINSTON CHURCHILL","","1602","20 AVE N","1602 20 AVE N","7510919","7","31","PLAN 7510919 BLOCK 7 LOT 31","275775",""
"CMP00021","COMPLIANCE","NEW","COMPLETED","6/6/2008 12:00:00 AM","","6/6/2008 12:00:00 AM","6/6/2008 12:00:00 AM","4056016100001","ST EDWARDS","","1610","ST BASIL RD N","1610 ST BASIL RD N","1094LK","5","28","PLAN 1094LK BLOCK 5 LOT 28","219824",""
"CMP00022","COMPLIANCE","NEW","COMPLETED","6/6/2008 12:00:00 AM","","6/6/2008 12:00:00 AM","6/6/2008 12:00:00 AM","4209027340001","MAJESTIC PLACE","","2734","9 AVE N","2734 9 AVE N","2896IB","2","8","PLAN 2896IB BLOCK 2 THAT PORTION OF LOT 8 WHICH LIES TO THE EAST OF THE WESTERLY 48 FEET THROUGHOUT THE SAID LOT 8","325216",""
"CMP00023","COMPLIANCE","NEW","COMPLETED","6/6/2008 12:00:00 AM","","6/6/2008 12:00:00 AM","6/6/2008 12:00:00 AM","4074506800001","LEGACY RIDGE / HARDIEVILLE","","680","FLORENCE HO LEONG CRES N","680 FLORENCE HO LEONG CRES N","0712108","8","26","PLAN 0712108 BLOCK 8 LOT 26","452812",""
"CMP00024","COMPLIANCE","NEW","COMPLETED","6/9/2008 12:00:00 AM","","6/12/2008 12:00:00 AM","6/12/2008 12:00:00 AM","4036001220001","UPLANDS","","122","LYNX COVE N","122 LYNX COVE N","0311560","19","53","PLAN 0311560 BLOCK 19 LOT 53","400788",""
"CMP00025","COMPLIANCE","NEW","COMPLETED","6/9/2008 12:00:00 AM","","6/12/2008 12:00:00 AM","6/12/2008 12:00:00 AM","1211009050001","FLEETWOOD","","905","11 AVE S","905 11 AVE S","6120HF","7","6","PLAN 6120HF BLOCK 7 LOT 6","306190",""
"CMP00026","COMPLIANCE","NEW","COMPLETED","6/9/2008 12:00:00 AM","","6/12/2008 12:00:00 AM","6/12/2008 12:00:00 AM","2022704120001","COPPERWOOD","","412","FIRELIGHT PT W","412 FIRELIGHT PT W","0714402","10","38","PLAN 0714402 BLOCK 10 LOT 38","453276",""
"CMP00027","COMPLIANCE","NEW","COMPLETED","6/10/2008 12:00:00 AM","","6/12/2008 12:00:00 AM","6/12/2008 12:00:00 AM","2022704550001","COPPERWOOD","","455","FIRELIGHT PT W","455 FIRELIGHT PT W","0714402","10","19","PLAN 0714402 BLOCK 10 LOT 19","453257",""
"CMP00028","COMPLIANCE","NEW","COMPLETED","6/10/2008 12:00:00 AM","","6/12/2008 12:00:00 AM","6/12/2008 12:00:00 AM","1119006360001","VICTORIA PARK","","636","19 ST S","636 19 ST S","4353S","128","24-26","PLAN 4353S  BLOCK 128  LOTS 24 TO 26 INCLUSIVE
","317866",""
"CMP00030","COMPLIANCE","NEW","COMPLETED","6/10/2008 12:00:00 AM","","6/12/2008 12:00:00 AM","6/12/2008 12:00:00 AM","1112005400001","LONDON ROAD","","540","12 ST S","540 12 ST S","4353S","60","26","PLAN 4353S BLOCK 60 LOT 26","315339",""
"CMP00031","COMPLIANCE","NEW","COMPLETED","6/10/2008 12:00:00 AM","","6/12/2008 12:00:00 AM","6/12/2008 12:00:00 AM","2083701290001","RIVERSTONE","","129","RIVERMONT CRES W","129 RIVERMONT CRES W","0410046","13","16","PLAN 0410046 BLOCK 13 LOT 16","404218",""
"CMP00032","COMPLIANCE","NEW","COMPLETED","6/10/2008 12:00:00 AM","","6/12/2008 12:00:00 AM","6/12/2008 12:00:00 AM","2065605450001","SUNRIDGE","","545","SUNRIDGE CRES W","545 SUNRIDGE CRES W","0514162","1","106","PLAN 0514162 BLOCK 1 LOT 106","417231",""
"CMP00033","COMPLIANCE","NEW","COMPLETED","6/10/2008 12:00:00 AM","","6/12/2008 12:00:00 AM","6/12/2008 12:00:00 AM","2060701500001","COPPERWOOD","","150","SILKSTONE RD W","150 SILKSTONE RD W","0714443","7","9","PLAN 0714443 BLOCK 7 LOT 9","453375",""
"CMP00034","COMPLIANCE","NEW","COMPLETED","6/10/2008 12:00:00 AM","","6/12/2008 12:00:00 AM","6/12/2008 12:00:00 AM","2053500590001","VARSITY VILLAGE","","59","PRINCETON CRES W","59 PRINCETON CRES W","7711628","32","61B","PLAN 7711628 BLOCK 32 LOT 61B","264295",""
"CMP00035","COMPLIANCE","NEW","COMPLETED","6/10/2008 12:00:00 AM","","6/12/2008 12:00:00 AM","6/12/2008 12:00:00 AM","4208119190001","WESTMINSTER","","1919","8A AVE N","1919 8A AVE N","5176AE","A","8,9","PLAN 5176AE BLOCK A ALL OF LOT 8 AND THE WEST 12.5 FEET OF LOT 9","311391",""
"CMP00036","COMPLIANCE","NEW","COMPLETED","6/10/2008 12:00:00 AM","","6/13/2008 12:00:00 AM","6/13/2008 12:00:00 AM","2065802280001","SUNRIDGE","","228","MT SUNBURST PL W","228 MT SUNBURST PL W","0514137","1","7","PLAN 0514137 BLOCK 1 LOT 7","416384",""
"CMP00037","COMPLIANCE","NEW","COMPLETED","6/10/2008 12:00:00 AM","","6/13/2008 12:00:00 AM","6/13/2008 12:00:00 AM","2084502260001","RIVERSTONE","","226","RIVERSTONE BLVD W","226 RIVERSTONE BLVD W","0710647","19","1","PLAN 0710647 BLOCK 19 LOT 1","452623",""
"CMP00038","COMPLIANCE","NEW","COMPLETED","6/10/2008 12:00:00 AM","","6/13/2008 12:00:00 AM","6/13/2008 12:00:00 AM","2064100460001","WEST HIGHLANDS","","46","TARTAN BLVD W","46 TARTAN BLVD W","0412427","6","8","PLAN 0412427 BLOCK 6 LOT 8","407361",""
"CMP00039","COMPLIANCE","NEW","COMPLETED","6/10/2008 12:00:00 AM","","6/13/2008 12:00:00 AM","6/13/2008 12:00:00 AM","1054105020001","FAIRMONT","","502","GATEWAY CRES S","502 GATEWAY CRES S","0611588","2","48","PLAN 0611588 BLOCK 2 LOT 48","421221",""
"CMP00040","COMPLIANCE","NEW","COMPLETED","6/10/2008 12:00:00 AM","","6/13/2008 12:00:00 AM","6/13/2008 12:00:00 AM","4113022120001","ST EDWARDS","","2212","13 ST N","2212 13 ST N","7510577","2","24","PLAN 7510577 BLOCK 2 LOT 24","237674",""
"CMP00041","COMPLIANCE","NEW","COMPLETED","6/10/2008 12:00:00 AM","","6/13/2008 12:00:00 AM","6/13/2008 12:00:00 AM","4207024350001","MAJESTIC PLACE","","2435","7 AVE N","2435 7 AVE N","2896IB","5","27","PLAN 2896IB BLOCK 5 LOT 27","252059",""
"CMP00042","COMPLIANCE","NEW","COMPLETED","6/11/2008 12:00:00 AM","","6/13/2008 12:00:00 AM","6/13/2008 12:00:00 AM","2012300660001","INDIAN BATTLE HEIGHTS","","66","CHIPPEWA CRES W","66 CHIPPEWA CRES W","7910001","1","33","PLAN 7910001 BLOCK 1 LOT 33","258611",""
"CMP00043","COMPLIANCE","NEW","COMPLETED","6/11/2008 12:00:00 AM","","6/16/2008 12:00:00 AM","6/16/2008 12:00:00 AM","2084502230001","RIVERSTONE","","223","RIVERSTONE BLVD W","223 RIVERSTONE BLVD W","0612599","18","11","PLAN 0612599 BLOCK 18 LOT 11","423426",""
"CMP00044","COMPLIANCE","NEW","COMPLETED","6/11/2008 12:00:00 AM","","6/11/2008 12:00:00 AM","6/11/2008 12:00:00 AM","2020800340001","RIDGEWOOD","","34","EDGEWOOD BLVD W","34 EDGEWOOD BLVD W","8710226","3","68","PLAN 8710226 BLOCK 3 LOT 68","213503",""
"CMP00045","COMPLIANCE","NEW","COMPLETED","6/11/2008 12:00:00 AM","","6/16/2008 12:00:00 AM","6/16/2008 12:00:00 AM","2064202560001","WEST HIGHLANDS","","256","TARTAN CIR W","256 TARTAN CIR W","0710231","8","138","PLAN 0710231 BLOCK 8 LOT 138","452282",""
"CMP00046","COMPLIANCE","NEW","COMPLETED","6/11/2008 12:00:00 AM","","6/16/2008 12:00:00 AM","6/16/2008 12:00:00 AM","4074506440001","LEGACY RIDGE / HARDIEVILLE","","644","FLORENCE HO LEONG CRES N","644 FLORENCE HO LEONG CRES N","0712108","8","35","PLAN 0712108 BLOCK 8 LOT 35","452821",""
"CMP00047","COMPLIANCE","NEW","COMPLETED","6/11/2008 12:00:00 AM","","6/16/2008 12:00:00 AM","6/16/2008 12:00:00 AM","4074506880001","LEGACY RIDGE / HARDIEVILLE","","688","FLORENCE HO LEONG CRES N","688 FLORENCE HO LEONG CRES N","0712108","8","24","PLAN 0712108 BLOCK 8 LOT 24","452810",""
"CMP00048","COMPLIANCE","NEW","COMPLETED","6/11/2008 12:00:00 AM","","6/16/2008 12:00:00 AM","6/16/2008 12:00:00 AM","1112210180001","FLEETWOOD","","1018","12B ST S","1018 12B ST S","2478R","2","8,9","PLAN 2478R  BLOCK 2 THE SOUTH HALF OF LOT 8 AND ALL OF LOT 9","233656",""
"CMP00049","COMPLIANCE","NEW","COMPLETED","6/12/2008 12:00:00 AM","","6/12/2008 12:00:00 AM","6/12/2008 12:00:00 AM","2021104130001","WEST HIGHLANDS","","413","EDINBURGH RD W","413 EDINBURGH RD W","0510741","5","44","PLAN 0510741 BLOCK 5 LOT 44","412786",""
"CMP00050","COMPLIANCE","NEW","COMPLETED","6/12/2008 12:00:00 AM","","6/16/2008 12:00:00 AM","6/16/2008 12:00:00 AM","2064201560001","WEST HIGHLANDS","","156","TARTAN CIR W","156 TARTAN CIR W","0612681","8","70","PLAN 0612681 BLOCK 8 LOT 70","423510",""
"CMP00051","COMPLIANCE","NEW","COMPLETED","6/12/2008 12:00:00 AM","","6/12/2008 12:00:00 AM","6/12/2008 12:00:00 AM","1083901350001","FAIRMONT","","135","FAIRMONT RD S","135 FAIRMONT RD S","0413932","2","2","PLAN 0413932 BLOCK 2 LOT 2","408565",""
"CMP00052","COMPLIANCE","NEW","COMPLETED","6/12/2008 12:00:00 AM","","6/16/2008 12:00:00 AM","6/16/2008 12:00:00 AM","4107009180001","STAFFORDVILLE","","918","7 ST N","918 7 ST N","6212GP","1","51,52","PLAN 6212GP BLOCK 1 LOTS 51 AND 52","250498",""
"CMP00053","COMPLIANCE","NEW","COMPLETED","6/12/2008 12:00:00 AM","","6/16/2008 12:00:00 AM","6/16/2008 12:00:00 AM","2015501560001","INDIAN BATTLE HEIGHTS","","156","COWICHAN CRT W","156 COWICHAN CRT W","0111930","13","8","PLAN 0111930 BLOCK 13 LOT 8","387145",""
"CMP00054","COMPLIANCE","NEW","COMPLETED","6/12/2008 12:00:00 AM","","6/16/2008 12:00:00 AM","6/16/2008 12:00:00 AM","1046738130001","REDWOOD","","3813","PINE CRES S","3813 PINE CRES S","7511052","10","9","PLAN 7511052 BLOCK 10 LOT 9","275159",""
"CMP00055","COMPLIANCE","NEW","COMPLETED","6/12/2008 12:00:00 AM","","6/16/2008 12:00:00 AM","6/16/2008 12:00:00 AM","1084002300001","FAIRMONT","","230","FAIRMONT GARDEN RD S","230 FAIRMONT GARDEN RD S","9811476","10","89","PLAN 9811476 BLOCK 10 LOT 89","372263",""
"CMP00056","COMPLIANCE","NEW","COMPLETED","6/12/2008 12:00:00 AM","","6/16/2008 12:00:00 AM","6/16/2008 12:00:00 AM","4210010180001","","","1018","10 AVE N","1018 10 AVE N","2805GN","8","12","PLAN 2805GN BLOCK 8 LOT 12","327008",""
"CMP00057","COMPLIANCE","NEW","COMPLETED","6/12/2008 12:00:00 AM","","6/16/2008 12:00:00 AM","6/16/2008 12:00:00 AM","4210010140001","","","1014","10 AVE N","1014 10 AVE N","2805GN","8","11","PLAN 2805GN BLOCK 8 LOT 11","327001",""
"CMP00058","COMPLIANCE","NEW","COMPLETED","6/12/2008 12:00:00 AM","","6/16/2008 12:00:00 AM","6/16/2008 12:00:00 AM","2012301380001","INDIAN BATTLE HEIGHTS","","138","CHIPPEWA CRES W","138 CHIPPEWA CRES W","7910001","1","51","PLAN 7910001 BLOCK 1 LOT 51","259892",""
"CMP00059","COMPLIANCE","NEW","COMPLETED","6/12/2008 12:00:00 AM","","6/16/2008 12:00:00 AM","6/16/2008 12:00:00 AM","1112211140001","FLEETWOOD","","1114","12B ST S","1114 12B ST S","2478R","17","6,7","PLAN 2478R  BLOCK 17  LOTS 6 AND 7","329332",""
"CMP00060","COMPLIANCE","NEW","COMPLETED","6/13/2008 12:00:00 AM","","6/17/2008 12:00:00 AM","6/17/2008 12:00:00 AM","4112003160001","SENATOR BUCHANAN","","316","12 ST N","316 12 ST N","4275AQ","178","6-8","PLAN 4275AQ BLOCK 178 THAT PORTION OF LOT 6 WHICH LIES TO THE NORTH OF THE SOUTHERLY 15.37 FEET THROUGHOUT THE SAID LOT 6 ALL OF LOT 7 AND THE SOUTHERLY 12.16 FEET THROUGHOUT LOT 8","207882",""
"CMP00061","COMPLIANCE","NEW","COMPLETED","6/13/2008 12:00:00 AM","","7/4/2008 12:00:00 AM","7/4/2008 12:00:00 AM","2006800430001","INDIAN BATTLE HEIGHTS","","43","BLACKFOOT BLVD W","43 BLACKFOOT BLVD W","9913324","10","33","PLAN 9913324 BLOCK 10 LOT 33","378759",""
"CMP00062","COMPLIANCE","NEW","COMPLETED","6/13/2008 12:00:00 AM","","6/18/2008 12:00:00 AM","6/18/2008 12:00:00 AM","4078003980001","LEGACY RIDGE / HARDIEVILLE","","398","LETTICE PERRY RD N","398 LETTICE PERRY RD N","0613894","3","3","PLAN 0613894 BLOCK 3 LOT 3","426296",""
"CMP00063","COMPLIANCE","NEW","COMPLETED","6/13/2008 12:00:00 AM","","6/18/2008 12:00:00 AM","6/18/2008 12:00:00 AM","4027203890001","UPLANDS","","389","GRIZZLY CRES N","389 GRIZZLY CRES N","0610714","18","61","PLAN 0610714 BLOCK 18 LOT 61","420374",""
"CMP00064","COMPLIANCE","NEW","COMPLETED","6/13/2008 12:00:00 AM","","6/18/2008 12:00:00 AM","6/18/2008 12:00:00 AM","2021105770001","WEST HIGHLANDS","","577","EDINBURGH RD W","577 EDINBURGH RD W","0412427","5","10","PLAN 0412427 BLOCK 5 LOT 10","407179",""
"CMP00065","COMPLIANCE","NEW","COMPLETED","6/16/2008 12:00:00 AM","","6/18/2008 12:00:00 AM","6/18/2008 12:00:00 AM","1124002070001","GLENDALE","","207","24 ST S","207 24 ST S","3761GO","22","19","PLAN 3761GO BLOCK 22 LOT 19","321219",""
"CMP00066","COMPLIANCE","NEW","COMPLETED","6/16/2008 12:00:00 AM","","6/18/2008 12:00:00 AM","6/18/2008 12:00:00 AM","4205024190001","MAJESTIC PLACE","","2419","5 AVE N","2419 5 AVE N","2896IB","11","22","PLAN 2896IB BLOCK 11 LOT 22","325951",""
"CMP00067","COMPLIANCE","NEW","COMPLETED","6/16/2008 12:00:00 AM","","6/18/2008 12:00:00 AM","6/18/2008 12:00:00 AM","2026900540001","HERITAGE HEIGHTS","","54","HERITAGE LANE W","54 HERITAGE LANE W","0111274","13","26","PLAN 0111274 BLOCK 13 LOT 26","386081",""
"CMP00068","COMPLIANCE","NEW","COMPLETED","6/16/2008 12:00:00 AM","","6/18/2008 12:00:00 AM","6/18/2008 12:00:00 AM","4209010050001","ST EDWARDS","","1005","9 AVE N","1005 9 AVE N","2805GN","8","5","PLAN 2805GN BLOCK 8 LOT 5","327029",""
"CMP00069","COMPLIANCE","NEW","COMPLETED","6/16/2008 12:00:00 AM","","6/18/2008 12:00:00 AM","6/18/2008 12:00:00 AM","2051700660001","INDIAN BATTLE HEIGHTS","","66","PEIGAN CRT W","66 PEIGAN CRT W","9913286","10","16","PLAN 9913286 BLOCK 10 LOT 16","378507",""
"CMP00070","COMPLIANCE","NEW","COMPLETED","6/16/2008 12:00:00 AM","","6/18/2008 12:00:00 AM","6/18/2008 12:00:00 AM","4115002260001","WESTMINSTER","","226","15 ST N","226 15 ST N","625C","","152","PLAN LETHBRIDGE 625C THE SOUTH TWENTY FIVE (25) FEET OF LOT ONE HUNDRED AND FIFTY TWO (152) 
EXCEPTING THEREOUT PORTION FOR A ROADWAY ON PLAN 8311697","216625",""
"CMP00071","COMPLIANCE","NEW","COMPLETED","6/16/2008 12:00:00 AM","","6/19/2008 12:00:00 AM","6/19/2008 12:00:00 AM","2057500060001","INDIAN BATTLE HEIGHTS","","6","SALISH PL W","6 SALISH PL W","0111922","5","189","PLAN 0111922 BLOCK 5 LOT 189","386648",""
"CMP00072","COMPLIANCE","NEW","COMPLETED","6/16/2008 12:00:00 AM","","6/19/2008 12:00:00 AM","6/19/2008 12:00:00 AM","2022502660001","COPPERWOOD","","266","FIRELIGHT CRES W","266 FIRELIGHT CRES W","0714402","12","31","PLAN 0714402 BLOCK 12 LOT 31","453321",""
"CMP00073","COMPLIANCE","NEW","COMPLETED","6/16/2008 12:00:00 AM","","6/19/2008 12:00:00 AM","6/19/2008 12:00:00 AM","4027203720001","UPLANDS","","372","GRIZZLY CRES N","372 GRIZZLY CRES N","0610714","17","13","PLAN 0610714 BLOCK 17 LOT 13","420241",""
"CMP00074","COMPLIANCE","NEW","COMPLETED","6/16/2008 12:00:00 AM","","6/19/2008 12:00:00 AM","6/19/2008 12:00:00 AM","2058100880001","MOUNTAIN HEIGHTS","","88","MT RUNDLE BLVD W","88 MT RUNDLE BLVD W","9710786","12","13","PLAN 9710786 BLOCK 12 LOT 13","368560",""
"CMP00075","COMPLIANCE","NEW","COMPLETED","6/16/2008 12:00:00 AM","","6/19/2008 12:00:00 AM","6/19/2008 12:00:00 AM","4027203810001","UPLANDS","","381","GRIZZLY CRES N","381 GRIZZLY CRES N","0610714","18","59","PLAN 0610714 BLOCK 18 LOT 59","420360",""
"CMP00076","COMPLIANCE","NEW","COMPLETED","6/16/2008 12:00:00 AM","","6/19/2008 12:00:00 AM","6/19/2008 12:00:00 AM","4027203970001","UPLANDS","","397","GRIZZLY CRES N","397 GRIZZLY CRES N","0610714","18","63","PLAN 0610714 BLOCK 18 LOT 63","420388",""
"CMP00077","COMPLIANCE","NEW","COMPLETED","6/16/2008 12:00:00 AM","","6/19/2008 12:00:00 AM","6/19/2008 12:00:00 AM","2014004830001","VARSITY VILLAGE","","483","COLUMBIA BLVD W","483 COLUMBIA BLVD W","7710705","35","5","PLAN 7710705 BLOCK 35 THE MOST EASTERLY 7.6 METERS IN PERPENDICULAR WIDTH THROUGHOUT LOT 5","329850",""
"CMP00078","COMPLIANCE","NEW","COMPLETED","6/16/2008 12:00:00 AM","","6/18/2008 12:00:00 AM","6/18/2008 12:00:00 AM","4211126140001","PARK MEADOWS","","2614","11A AVE N","2614 11A AVE N","7099JK","13","18","PLAN 7099JK BLOCK 13 LOT 18","295970",""
"CMP00079","COMPLIANCE","NEW","COMPLETED","6/16/2008 12:00:00 AM","","6/19/2008 12:00:00 AM","6/19/2008 12:00:00 AM","1041505100001","GLENDALE","","510","NORMANDY RD S","510 NORMANDY RD S","7510923","10","9","PLAN 7510923 BLOCK 10 LOT 9","276293",""
"CMP00080","COMPLIANCE","NEW","COMPLETED","6/17/2008 12:00:00 AM","","6/19/2008 12:00:00 AM","6/19/2008 12:00:00 AM","4114014130001","WINSTON CHURCHILL","","1413","14 ST N","1413 14 ST N","4420JK","4","30","PLAN 4420JK BLOCK 4 LOT 30","200266",""
"CMP00081","COMPLIANCE","NEW","COMPLETED","6/17/2008 12:00:00 AM","","6/19/2008 12:00:00 AM","6/19/2008 12:00:00 AM","4116002040001","WESTMINSTER","","204","16 ST N","204 16 ST N","6995HA","3","23","PLAN 6995HA BLOCK 3 LOT 23","297447",""
"CMP00082","COMPLIANCE","NEW","COMPLETED","6/17/2008 12:00:00 AM","","6/19/2008 12:00:00 AM","6/19/2008 12:00:00 AM","1210020010001","VICTORIA PARK","","2001","10 AVE S","2001 10 AVE S","2697GE","3","1","PLAN 2697GE BLOCK 3 LOT 1","354301",""
"CMP00083","COMPLIANCE","NEW","COMPLETED","6/18/2008 12:00:00 AM","","6/18/2008 12:00:00 AM","6/18/2008 12:00:00 AM","1202040060001","WT HILL BUSINESS PARK","","4006","2 AVE S","4006 2 AVE S","0413067","3","7","PLAN 0413067 BLOCK 3 LOT 7","407746",""
"CMP00084","COMPLIANCE","NEW","COMPLETED","6/18/2008 12:00:00 AM","","6/18/2008 12:00:00 AM","6/18/2008 12:00:00 AM","1211031050001","LAKEVIEW","","3105","11 AVE S","3105 11 AVE S","2594HC","8","19","PLAN 2594HC BLOCK 8 LOT 19","255475",""
"CMP00085","COMPLIANCE","NEW","COMPLETED","6/18/2008 12:00:00 AM","","6/19/2008 12:00:00 AM","6/19/2008 12:00:00 AM","1219018060001","AGNES DAVIDSON","","1806","19 AVE S","1806 19 AVE S","3698HS","2","9","PLAN 3698HS BLOCK 2 LOT 9","321730",""
"CMP00086","COMPLIANCE","NEW","COMPLETED","6/18/2008 12:00:00 AM","","6/19/2008 12:00:00 AM","6/19/2008 12:00:00 AM","4027400890001","UPLANDS","","89","GRIZZLY TERR N","89 GRIZZLY TERR N","0512561","16","58","PLAN 0512561 BLOCK 16 LOT 58","414921",""
"CMP00087","COMPLIANCE","NEW","COMPLETED","6/19/2008 12:00:00 AM","","6/23/2008 12:00:00 AM","6/23/2008 12:00:00 AM","2009210690001","PARADISE CANYON","","1069","CANYON BLVD W","1069 CANYON BLVD W","0712569","1","82","PLAN 0712569 BLOCK 1 LOT 82","452858",""
"CMP00088","COMPLIANCE","NEW","COMPLETED","6/19/2008 12:00:00 AM","","6/23/2008 12:00:00 AM","6/23/2008 12:00:00 AM","1211030090001","LAKEVIEW","","3009","11 AVE S","3009 11 AVE S","2594HC","16","9","PLAN 2594HC BLOCK 16 LOT 9","217290",""
