FOLDERYEAR,LicenceRSN,LicenceNumber,LicenceRevisionNumber,BusinessName,BusinessTradeName,Status,IssuedDate,ExpiredDate,BusinessType,BusinessSubType,Unit,UnitType,House,Street,City,Province,Country,PostalCode,LocalArea,NumberofEmployees,FeePaid,ExtractDate,Geom,geo_point_2d
24,4506423,24-125774,10,Raha Therapy Inc,,Issued,2023-11-28T12:00:27-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Burnaby,BC,CA,,Strathcona,1.0,,2026-08-01T02:34:22-07:00,,
24,4506585,24-125968,10,(Gabriel Brooks),,Issued,2023-12-02T13:45:16-08:00,2024-12-31,Health Care Professionals and Services,,,,,,North Vancouver,BC,CA,,Out of Town,0.0,,2026-08-01T02:34:22-07:00,,
24,4506686,24-126085,10,Eric David Bennett (Eric Bennett),,Issued,2024-03-04T10:40:51-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Port Moody,BC,CA,,Out of Town,1.0,,2026-08-01T02:34:22-07:00,,
24,4506687,24-126086,10,Safe Care Home Support Ltd,,Issued,2024-01-30T14:45:53-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Coquitlam,BC,CA,,Out of Town,1.0,,2026-08-01T02:34:22-07:00,,
24,4506700,24-126103,10,(Eliza Butler),Eliza B.,Issued,2024-02-23T11:10:25-08:00,2024-12-31,Health Care Professionals and Services,,,,,,North Vancouver,BC,CA,,Out of Town,1.0,,2026-08-01T02:34:22-07:00,,
24,4506728,24-126141,10,Link Rehab Inc,,Issued,2023-12-11T13:09:23-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Burnaby,BC,CA,,Out of Town,1.0,,2026-08-01T02:34:22-07:00,,
24,4506764,24-126182,10,FreeMind Therapy Inc,,Issued,2023-12-29T16:15:18-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Abbotsford,BC,CA,,Out of Town,1.0,,2026-08-01T02:34:22-07:00,,
24,4506886,24-126321,10,(Ellison Fernandez),Essential Nursing,Issued,2023-12-28T11:14:48-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Richmond,BC,CA,,Out of Town,1.0,,2026-08-01T02:34:22-07:00,,
24,4506963,24-126412,10,Phuong Thi Nguyen (Phuong Nguyen),,Issued,2023-12-10T20:02:22-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Surrey,BC,,,Out of Town,1.0,,2026-08-01T02:34:22-07:00,,
24,4507034,24-126494,10,(Ameneh Safarzadeh),AMIE FAMILY CARE,Issued,2023-12-18T01:54:05-08:00,2024-12-31,Health Care Professionals and Services,,,,,,West Vancouver,BC,,,Out of Town,0.0,,2026-08-01T02:34:22-07:00,,
24,4507153,24-175822,10,(Cynthia Routhier),,Issued,2024-02-06T11:21:59-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Revelstoke,BC,CA,,Out of Town,0.0,,2026-08-01T02:34:22-07:00,,
24,4507319,24-200795,10,(ChunTung Tsang),4Ever care,Issued,2024-04-14T12:39:22-07:00,2024-12-31,Health Care Professionals and Services,,,,,,Burnaby,BC,CA,,Out of Town,2.0,,2026-08-01T02:34:22-07:00,,
24,4507465,24-219892,10,TOP FOOT CARE INC.,,Issued,2024-05-01T09:58:55-07:00,2024-12-31,Health Care Professionals and Services,,,,,,Surrey,BC,,,Out of Town,0.0,,2026-08-01T02:34:22-07:00,,
24,4507739,24-126808,10,Universal Health & Safety Inc,,Inactive,2023-11-27T10:55:06-08:00,2024-12-31,Sport and Fitness Instruction,,,,,,Burnaby,BC,CA,,Out of Town,5.0,,2026-08-01T02:34:22-07:00,,
24,4512001,24-190215,10,(Anne-Marie Magnus),Magnus Health and Wellness,Issued,2024-02-16T09:12:37-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Richmond,BC,,,Out of Town,0.0,,2026-08-01T02:34:22-07:00,,
24,4512044,24-219887,10,(Alecia Chin),Alecia Dawn Registered Massage Therapy,Cancelled,,,Health Care Professionals and Services,,,,,,North Vancouver,BC,,,Out of Town,0.0,,2026-08-01T02:34:22-07:00,,
24,4518412,24-138038,10,John Peter Sauter (John Sauter),J.P. Sauter Architect,Issued,2023-11-18T09:06:48-08:00,2024-12-31,Architectural and Engineering Services,,,,,,Calgary,BC,CA,,Out of Town,1.0,,2026-08-01T02:34:22-07:00,,
24,4521851,24-141357,10,(Christopher Kennedy),Fortify Physiotherapy and Performance,Issued,2023-12-15T11:16:44-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Squamish,BC,CA,,Out of Town,1.0,,2026-08-01T02:34:22-07:00,,
24,4521992,24-141535,10,HNG Women's Physiotherapy & Wellness Corp,HNG Women's In-Home Physiotherapy,Issued,2023-11-29T13:12:32-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Richmond,BC,CA,,Out of Town,1.0,,2026-08-01T02:34:22-07:00,,
24,4522122,24-141710,10,(Emanuela Luciu),,Issued,2023-12-30T04:31:41-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Burnaby,BC,,,Out of Town,1.0,,2026-08-01T02:34:22-07:00,,
24,4511147,24-130241,10,Honest to Pete Roasters Inc,,Issued,2023-11-18T11:15:57-08:00,2024-12-31,Food Manufacturer Assembler and Processor,,,,2109,ALBERTA ST,Vancouver,BC,CA,V5Y 3K4,Mount Pleasant,2.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.111259640107, 49.266362183462], ""type"": ""Point""}","49.266362183462, -123.111259640107"
24,4511327,24-130343,10,(Janet Lee),,Issued,2023-12-20T19:17:25-08:00,2024-12-31,Health Care Professionals and Services,,MZ1,Unit,970,Burrard St,Vancouver,BC,CA,V6C 2E8,Downtown,1.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.125113318281, 49.2810836198967], ""type"": ""Point""}","49.2810836198967, -123.125113318281"
24,4511331,24-130347,10,Everest Therapeutics Inc,,Issued,2024-02-01T10:37:40-08:00,2024-12-31,Health Care Professionals and Services,,MZ1,Unit,970,BURRARD ST,Vancouver,BC,CA,V6Z 2R4,Downtown,0.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.125113318281, 49.2810836198967], ""type"": ""Point""}","49.2810836198967, -123.125113318281"
24,4511337,24-130354,10,Aurea Judith Castillo Registered Massage Therapist Inc,,Issued,2023-12-09T15:42:38-08:00,2024-12-31,Health Care Professionals and Services,,1,Unit,3039,KINGSWAY,Vancouver,BC,CA,V5R 5J6,Renfrew-Collingwood,3.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.04077271398, 49.2361138953287], ""type"": ""Point""}","49.2361138953287, -123.04077271398"
24,4511339,24-130357,10,(Crystal Draper),Crystal Draper RMT,Issued,2023-12-29T20:32:15-08:00,2024-12-31,Health Care Professionals and Services,,,,2386,KINGSWAY,Vancouver,BC,CA,V5R 5G9,Renfrew-Collingwood,1.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.05683380935, 49.240903077359], ""type"": ""Point""}","49.240903077359, -123.05683380935"
24,4511341,24-130359,10,Kitsilano Massage Therapy And Health Inc,,Issued,2023-11-29T11:41:14-08:00,2024-12-31,Health Care Professionals and Services,,,,2085,W 4TH AV,Vancouver,BC,CA,V6J 1N3,Kitsilano,0.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.152254860092, 49.2683889102151], ""type"": ""Point""}","49.2683889102151, -123.152254860092"
24,4511344,24-130362,10,Stephen Harrower,,Issued,2023-12-07T14:19:25-08:00,2024-12-31,Health Care Professionals and Services,,304,Unit,1037,W BROADWAY,Vancouver,BC,CA,V6H 1E3,Fairview,1.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.127496026197, 49.2637069526358], ""type"": ""Point""}","49.2637069526358, -123.127496026197"
24,4511348,24-130368,10,Jian Ping H Tao (Jian Tao),Tao Rehabilitation Clinic,Issued,2023-12-22T15:40:59-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Vancouver,BC,CA,,Arbutus-Ridge,1.0,,2026-08-01T02:34:25-07:00,,
24,4511358,24-130379,10,Kelly A Hamilton (Kelly Hamilton),Kelly Hamilton RMT,Issued,2023-12-04T17:52:46-08:00,2024-12-31,Health Care Professionals and Services,,,,4326,FRASER ST,Vancouver,BC,CA,V5V 4G3,Kensington-Cedar Cottage,0.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.089813539395, 49.2462689339488], ""type"": ""Point""}","49.2462689339488, -123.089813539395"
24,4511362,24-130383,10,Robert Albert Hackwood (Robert Hackwood),,Issued,2023-12-22T08:50:05-08:00,2024-12-31,Health Care Professionals and Services,,102,Unit,3195,GRANVILLE ST,Vancouver,BC,CA,V6H 3K2,Fairview,0.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.139226325057, 49.2571924740432], ""type"": ""Point""}","49.2571924740432, -123.139226325057"
24,4511366,24-130387,10,Michael Don Berger (Michael Berger),Bayswater Neuromuscular & Massage,Issued,2023-11-23T09:22:24-08:00,2024-12-31,Health Care Professionals and Services,,218,Unit,2475,BAYSWATER ST,Vancouver,BC,CA,V6K 4N3,Kitsilano,1.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.171602721019, 49.2643788351171], ""type"": ""Point""}","49.2643788351171, -123.171602721019"
24,4511368,24-130389,10,Peter J Roach (Peter Roach),Bayswater Neuromuscular & Massage Centre,Issued,2024-02-01T12:22:29-08:00,2024-12-31,Health Care Professionals and Services,,218,Unit,2475,BAYSWATER ST,Vancouver,BC,CA,V6K 4N3,Kitsilano,0.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.171602721019, 49.2643788351171], ""type"": ""Point""}","49.2643788351171, -123.171602721019"
24,4511370,24-130391,10,Momentum Wellness Centre Inc,,Issued,2023-11-23T16:38:35-08:00,2024-12-31,Health Care Professionals and Services,,207,Unit,5511,WEST BOULEVARD,Vancouver,BC,CA,V6M 4H3,Arbutus-Ridge,2.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.155867328486, 49.2362974199326], ""type"": ""Point""}","49.2362974199326, -123.155867328486"
24,4511377,24-130399,10,Jennifer Marie Searson (Jennifer Searson),Jennifer Searson RMT,Issued,2023-12-01T09:07:04-08:00,2024-12-31,Health Care Professionals and Services,,715,Unit,850,W HASTINGS ST,Vancouver,BC,CA,V6C 1E1,Downtown,1.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.115919426108, 49.2862337084847], ""type"": ""Point""}","49.2862337084847, -123.115919426108"
24,4511379,24-130401,10,(Krzysztof Maludzinski),,Issued,2023-12-13T12:39:02-08:00,2024-12-31,Health Care Professionals and Services,,,,7667,NANAIMO ST,Vancouver,BC,CA,V5P 4M6,Victoria-Fraserview,0.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.059948128283, 49.2150598028745], ""type"": ""Point""}","49.2150598028745, -123.059948128283"
24,4511383,24-130405,10,Cassandra Stewart Hilliard (Cassandra Hilliard),Cassandra Hilliard RMT,Issued,2023-12-04T01:02:45-08:00,2024-12-31,Health Care Professionals and Services,,,,2386,KINGSWAY,Vancouver,BC,CA,V5R 5G9,Renfrew-Collingwood,1.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.05683380935, 49.240903077359], ""type"": ""Point""}","49.240903077359, -123.05683380935"
24,4511396,24-130418,10,(Irina Oulianova),Irina Oulianova RMT,Issued,2024-02-25T19:07:47-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Vancouver,BC,CA,,West End,1.0,,2026-08-01T02:34:25-07:00,,
24,4511401,24-130424,10,Crystal Lori Simser (Crystal Simser),Crystal Simser,Issued,2023-11-27T09:15:50-08:00,2024-12-31,Health Care Professionals and Services,,410,Unit,207,W HASTINGS ST,Vancouver,BC,CA,V6B 1H7,Downtown,1.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.109667400476, 49.2831356847985], ""type"": ""Point""}","49.2831356847985, -123.109667400476"
24,4511403,24-130426,10,(Joseph Zonys),Urban Therapeutics,Issued,2023-12-21T14:18:36-08:00,2024-12-31,Health Care Professionals and Services,,809,Unit,409,GRANVILLE ST,Vancouver,BC,CA,V6C 1T2,Downtown,0.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.114569797322, 49.2853593925229], ""type"": ""Point""}","49.2853593925229, -123.114569797322"
24,4511405,24-130428,10,Wendeanna Kristina Armbruster-Macdonald (Wendeanna Armbruster-Macdonald),Wendeanna Armbruster RMT,Issued,2023-12-30T15:52:35-08:00,2024-12-31,Health Care Professionals and Services,,203,Unit,1168,HAMILTON ST,Vancouver,BC,CA,V6B 2S2,Downtown,1.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.121996984635, 49.2750076198637], ""type"": ""Point""}","49.2750076198637, -123.121996984635"
24,4511407,24-130431,10,(Laura Dunkley),Laura Dunkley RMT,Issued,2023-12-22T23:26:29-08:00,2024-12-31,Health Care Professionals and Services,,136,Unit,1020,MAINLAND ST,Vancouver,BC,CA,V6B 2T5,Downtown,1.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.119287202894, 49.2760867503332], ""type"": ""Point""}","49.2760867503332, -123.119287202894"
24,4511415,24-130439,10,(Tiana Stoddart),,Issued,2023-12-30T20:29:05-08:00,2024-12-31,Health Care Professionals and Services,,,,1249,BURRARD ST,Vancouver,BC,CA,V6Z 1Z5,West End,0.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.130299135331, 49.278790467882], ""type"": ""Point""}","49.278790467882, -123.130299135331"
24,4511425,24-130451,10,Therapia Centre For Massage And Structural Realignment Inc,,Issued,2024-05-29T09:44:06-07:00,2024-12-31,Health Care Professionals and Services,,,,1355,HOMER ST,Vancouver,BC,CA,V6B 5M9,Downtown,1.0,292.0,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.126050461572, 49.2738730144299], ""type"": ""Point""}","49.2738730144299, -123.126050461572"
24,4511426,24-130452,10,Sarah Jennifer Ehlen (Sarah Ehlen),Sarah Ehlen Registered Massage Therapy,Issued,2023-12-06T16:20:16-08:00,2024-12-31,Health Care Professionals and Services,,202,Unit,3641,W 29TH AV,Vancouver,BC,CA,V6S 1T5,Dunbar-Southlands,0.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.185903392788, 49.2463904246746], ""type"": ""Point""}","49.2463904246746, -123.185903392788"
24,4511430,24-130456,10,Kristen Marie MacDonald (Kristen MacDonald),,Issued,2024-01-29T19:15:21-08:00,2024-12-31,Health Care Professionals and Services,,205,Unit,2460,Commercial Dr,Vancouver,BC,CA,V5T 4T1,Grandview-Woodland,1.0,,2026-08-01T02:34:25-07:00,,
24,4511432,24-130458,10,Jeremy P Nolasco (Jeremy Nolasco),,Issued,2023-12-19T14:49:07-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Vancouver,BC,CA,,Victoria-Fraserview,1.0,,2026-08-01T02:34:25-07:00,,
24,4511440,24-130467,10,(Yung-Chung Tien),,Issued,2023-12-30T14:18:11-08:00,2024-12-31,Health Care Professionals and Services,,,,536,KINGSWAY,Vancouver,BC,CA,V5T 3J9,Mount Pleasant,1.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.093530332101, 49.2576936787665], ""type"": ""Point""}","49.2576936787665, -123.093530332101"
24,4511443,24-130470,10,Kimen Carl Petersen (Kimen Petersen),,Issued,2023-12-01T10:50:44-08:00,2024-12-31,Health Care Professionals and Services,,360,Unit,2184,W BROADWAY,Vancouver,BC,CA,V6K 2E1,Kitsilano,1.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.154715443929, 49.2635409232546], ""type"": ""Point""}","49.2635409232546, -123.154715443929"
24,4511444,24-130472,10,1045683 BC Ltd,,Issued,2024-01-08T08:48:32-08:00,2024-12-31,Health Care Professionals and Services,,408,Unit,2150,W BROADWAY,Vancouver,BC,CA,V6K 4L9,Kitsilano,4.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.154117930265, 49.2635294973264], ""type"": ""Point""}","49.2635294973264, -123.154117930265"
24,4511445,24-130473,10,(Shannon Marie  Seeley),,Issued,2024-01-01T06:35:08-08:00,2024-12-31,Health Care Professionals and Services,,495,Unit,555,W 12TH AV,Vancouver,BC,CA,V5Z 3X7,Fairview,1.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.116286093249, 49.2608633217122], ""type"": ""Point""}","49.2608633217122, -123.116286093249"
24,4511446,24-130474,10,Kaela Jael Reid (Kaela Reid),Kaela Reid RMT,Issued,2023-12-29T16:48:18-08:00,2024-12-31,Health Care Professionals and Services,,,,2657,COMMERCIAL DRIVE,Vancouver,BC,CA,V5N 4C3,Kensington-Cedar Cottage,1.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.070183809078, 49.2606258375301], ""type"": ""Point""}","49.2606258375301, -123.070183809078"
24,4511448,24-130476,10,(Kevin Mattinson),Vancouver Health And Sport Therapeutics,Gone Out of Business,2024-01-05T12:35:14-08:00,2024-12-31,Health Care Professionals and Services,,129,Unit,970,BURRARD ST,Vancouver,BC,CA,V6Z 2R4,Downtown,1.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.125113318281, 49.2810836198967], ""type"": ""Point""}","49.2810836198967, -123.125113318281"
24,4511449,24-130477,10,(Aashima Dhir),,Issued,2023-12-09T23:25:00-08:00,2024-12-31,Health Care Professionals and Services,,,,2386,KINGSWAY,Vancouver,BC,CA,V5R 5G9,Renfrew-Collingwood,1.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.05683380935, 49.240903077359], ""type"": ""Point""}","49.240903077359, -123.05683380935"
24,4511452,24-130480,10,(Coletin Thomas),Coletin Thomas Registered Massage Therapy,Inactive,2023-12-28T12:56:11-08:00,2024-12-31,Health Care Professionals and Services,,705,Unit,1112,W PENDER ST,Vancouver,BC,CA,V6E 2S1,Downtown,1.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.121125987825, 49.2875469702], ""type"": ""Point""}","49.2875469702, -123.121125987825"
24,4511453,24-130481,10,Kathryn A Moore (Kathryn Moore),,Issued,2023-12-04T21:06:55-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Vancouver,BC,CA,,Kitsilano,1.0,,2026-08-01T02:34:25-07:00,,
24,4511459,24-130489,10,Aisha Noel Julia Harach-Iruoje (Aisha Harach-Iruoje),,Issued,2023-12-11T23:36:35-08:00,2024-12-31,Health Care Professionals and Services,,,,142,E 23RD AV,Vancouver,BC,CA,V5V 1X2,Riley Park,1.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.10218779223, 49.2500454004148], ""type"": ""Point""}","49.2500454004148, -123.10218779223"
24,4511460,24-130490,10,Ridgepoint Wellness Inc,,Issued,2023-11-26T11:48:39-08:00,2024-12-31,Health Care Professionals and Services,,,,5445,WEST BOULEVARD,Vancouver,BC,CA,V6M 3W5,Arbutus-Ridge,0.0,,2026-08-01T02:34:25-07:00,"{""coordinates"": [-123.155870418478, 49.2368384801046], ""type"": ""Point""}","49.2368384801046, -123.155870418478"
