Permit Number,Permit Application Type,Date Issued,Building Use,Work Class,Cost of Construction,Number of Units,Number of Stories,Stats Can # of Units Lost,Location,LocType,Subdivision Code,Name,Contact Type Description,Construction Type
PRBS202500003,Basement Development,2025-01-06 00:00:00,Residential,Alteration and improvements,30000,0,,,"5035 DONNELLY CRESCENT, REGINA, SK S4X4C7",Address,Garden Ridge,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRRN202403090,Renovation/Alteration,2025-01-06 00:00:00,Commercial,Alteration and improvements,5000,0,,,"3769 WASCANA PARKWAY, REGINA, SK S4S0A2",Address,Hillsdale,THE UNIVERSITY OF REGINA,Property Owner,626-University
PRRN202403130,Renovation/Alteration,2025-01-06 00:00:00,Commercial,Alteration and improvements,75000,0,,,"3120 AVONHURST DRIVE, REGINA, SK S4R3J7",Address,Coronation Park,102136612 SASKATCHEWAN LIMITED,Property Owner,"512-Retail complex; plaza, mall, shopping centre, store/office building"
PRRN202500011,Renovation/Alteration,2025-01-06 00:00:00,Residential,Alteration and improvements,20000,0,,,"1610 E LEE PLACE, REGINA, SK S4V0S7",Address,Gardiner Park,Technique Construction Inc. - Kevin Wassill,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202402544,Single/Semi-Detached Dwelling 1-2 units,2025-01-06 00:00:00,Residential,New construction,700000,2,2,,"3917 QU'APPELLE DRIVE, REGINA, SK S4S0E1",Address,River Heights,WEST OAK INVESTMENTS GENERAL PARTNER I LTD.,Property Owner,"310-Apartment, apartment building, duplex, triplex, quadruple"
PRSF202402922,Single/Semi-Detached Dwelling 1-2 units,2025-01-06 00:00:00,Residential,New construction,232730,1,2,,3159 BOWEN STREET,Address,The Towns,EHRENBURG HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202402923,Single/Semi-Detached Dwelling 1-2 units,2025-01-06 00:00:00,Residential,New construction,259740,1,2,,3163 BOWEN STREET,Address,The Towns,EHRENBURG HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202402924,Single/Semi-Detached Dwelling 1-2 units,2025-01-06 00:00:00,Residential,New construction,278240,1,2,,3167 BOWEN STREET,Address,The Towns,EHRENBURG HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202402939,Single/Semi-Detached Dwelling 1-2 units,2025-01-06 00:00:00,Residential,New construction,560300,1,2,,"5425 E NICHOLSON AVENUE, REGINA, SK *",Address,The Towns,Homes by Dream,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202402974,Single/Semi-Detached Dwelling 1-2 units,2025-01-06 00:00:00,Residential,New construction,430270,1,2,,"5416 E NICHOLSON AVENUE, REGINA, SK *",Address,The Towns,Homes by Dream,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202403016,Single/Semi-Detached Dwelling 1-2 units,2025-01-06 00:00:00,Residential,New construction,359900,1,2,,3184 FAVEL DRIVE,Address,The Towns,EHRENBURG HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202403020,Single/Semi-Detached Dwelling 1-2 units,2025-01-06 00:00:00,Residential,New construction,388300,1,2,,"3256 FAVEL DRIVE, REGINA, SK *",Address,The Towns,DREAM TOWNS LANDS SOUTH (GP) INC.,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202403078,Single/Semi-Detached Dwelling 1-2 units,2025-01-06 00:00:00,Residential,New construction,486800,1,2,,"5520 E NICHOLSON AVENUE, REGINA, SK *",Address,The Towns,DREAM TOWNS LANDS SOUTH (GP) INC.,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202403107,Single/Semi-Detached Dwelling 1-2 units,2025-01-06 00:00:00,Residential,New construction,400000,1,2,,3100 FAVEL DRIVE,Address,The Towns,PACESETTER HOMES REGINA,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSS202403028,Secondary Suite,2025-01-06 00:00:00,Residential,Alteration and improvements,35000,1,,,"5401 AERODROME ROAD, REGINA, SK S4W0K4",Address,Harbour Landing,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSS202403086,Secondary Suite,2025-01-06 00:00:00,Residential,Alteration and improvements,30000,1,,,"5057 AERIAL CRESCENT, REGINA, SK S4W0C8",Address,Harbour Landing,First Call Construction,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRBS202500012,Basement Development,2025-01-07 00:00:00,Residential,Alteration and improvements,39500,0,,,"3846 GREEN DIAMOND ROAD, REGINA, SK S4V3T3",Address,The Greens on Gardiner,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRDE202402787,Demolition,2025-01-07 00:00:00,Residential,Demolition,5000,0,,1,"1153 ARGYLE STREET, REGINA, SK S4T3R6",Address,Old 33,First Choice Excavation & Demolition,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRDK202500013,Deck/Sunroom,2025-01-07 00:00:00,Residential,Alteration and improvements,5000,0,,,"2936 MONTAGUE STREET, REGINA, SK S4S1Z4",Address,Normandy Heights,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRRN202402842,Renovation/Alteration,2025-01-07 00:00:00,Commercial,Alteration and improvements,800000,0,1,,"1621 ALBERT STREET, REGINA, SK S4P2S5",Address,Old 33,1621 ALBERT STREET DEVELOPMENT CORP.,Property Owner,"520-Office building; consultant’s office, doctor’s office, insurance compan"
PRRN202500005,Renovation/Alteration,2025-01-07 00:00:00,Residential,Alteration and improvements,2000,0,,,"24 ARLINGTON STREET, REGINA, SK S4S3H6",Address,Albert Park,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202402752,Single/Semi-Detached Dwelling 1-2 units,2025-01-07 00:00:00,Residential,New construction,450000,1,1,,"6959 MAPLE VISTA DRIVE, REGINA, SK S4X0J8",Address,Maple Ridge,,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202402887,Single/Semi-Detached Dwelling 1-2 units,2025-01-07 00:00:00,Residential,New construction,259740,1,2,,3136 GREEN TURTLE ROAD,Address,The Towns,EHRENBURG HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202402888,Single/Semi-Detached Dwelling 1-2 units,2025-01-07 00:00:00,Residential,New construction,259740,1,2,,3144 GREEN TURTLE ROAD,Address,The Towns,EHRENBURG HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSS202403070,Secondary Suite,2025-01-07 00:00:00,Residential,Alteration and improvements,45000,1,,,"4704 E BUCKINGHAM DRIVE, REGINA, SK *",Address,The Towns,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRBS202500023,Basement Development,2025-01-08 00:00:00,Residential,Alteration and improvements,45000,0,,,"5404 E NICHOLSON AVENUE, REGINA, SK *",Address,The Towns,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRBS202500038,Basement Development,2025-01-08 00:00:00,Residential,Alteration and improvements,30000,0,,,"2257 BRODER STREET, REGINA, SK S4N3S7",Address,Broders Annex,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRFR202500016,Foundation Repair,2025-01-08 00:00:00,Residential,Alteration and improvements,4468,0,,,"2454 E BOLEN BAY, REGINA, SK S4V0V6",Address,Wood Meadows,Regina Basement Bracing - Cole Crowley,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRFR202500041,Foundation Repair,2025-01-08 00:00:00,Residential,Alteration and improvements,3900,0,,,"6222 1ST AVENUE N, REGINA, SK S4T6Z9",Address,Normanview West,AAA Solid Foundation,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRGA202402866,Garage/Carport,2025-01-08 00:00:00,Residential,Garage/Carport/Accessory Structure,20000,0,,,"2922 BELLEGARDE CRESCENT, REGINA, SK S4V3W5",Address,The Towns,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRRN202402396,Renovation/Alteration,2025-01-08 00:00:00,Commercial,Alteration and improvements,30000,0,,,"100 VICTORIA AVENUE, REGINA, SK S4N0P3",Address,Tuxedo Park,EMMANUEL ENTERPRISES INC.,Property Owner,"520-Office building; consultant’s office, doctor’s office, insurance compan"
PRRN202403162,Renovation/Alteration,2025-01-08 00:00:00,Residential,Alteration and improvements,10000,0,,,"88 FRENCH CRESCENT, REGINA, SK S4R6N4",Address,Walsh Acres,Turk Construction - Matt,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRRN202500009,Renovation/Alteration,2025-01-08 00:00:00,Residential,Alteration and improvements,25000,0,,,"90 HANLEY CRESCENT, REGINA, SK S4R5A7",Address,Normanview,,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202402886,Single/Semi-Detached Dwelling 1-2 units,2025-01-08 00:00:00,Residential,New construction,278240,1,2,,3116 GREEN TURTLE ROAD,Address,The Towns,EHRENBURG HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202402894,Single/Semi-Detached Dwelling 1-2 units,2025-01-08 00:00:00,Residential,New construction,232730,1,2,,3140 GREEN TURTLE ROAD,Address,The Towns,EHRENBURG HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202402896,Single/Semi-Detached Dwelling 1-2 units,2025-01-08 00:00:00,Residential,New construction,259740,1,2,,3160 GREEN TURTLE ROAD,Address,The Towns,EHRENBURG HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202402897,Single/Semi-Detached Dwelling 1-2 units,2025-01-08 00:00:00,Residential,New construction,259740,1,2,,3164 GREEN TURTLE ROAD,Address,The Towns,EHRENBURG HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202402898,Single/Semi-Detached Dwelling 1-2 units,2025-01-08 00:00:00,Residential,New construction,278240,1,2,,3168 GREEN TURTLE ROAD,Address,The Towns,EHRENBURG HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSS202403102,Secondary Suite,2025-01-08 00:00:00,Residential,Alteration and improvements,45000,1,,,"4829 LIBERTY STREET, REGINA, SK S4W0K2",Address,Harbour Landing,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSS202403113,Secondary Suite,2025-01-08 00:00:00,Residential,Alteration and improvements,50000,1,,,"4517 E GREEN ROCK ROAD, REGINA, SK S4V3K4",Address,The Greens on Gardiner,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSS202500030,Secondary Suite,2025-01-08 00:00:00,Residential,Alteration and improvements,40000,1,,,"5210 SQUIRES ROAD, REGINA, SK S4W0G8",Address,Harbour Landing,CRAWFORD HOMES (1991) LTD,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRBS202500035,Basement Development,2025-01-09 00:00:00,Residential,Alteration and improvements,45000,0,,,"2306 MCGREGOR PLACE, REGINA, SK S4V2Y4",Address,Spruce Meadows,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRBS202500044,Basement Development,2025-01-09 00:00:00,Residential,Alteration and improvements,4000,0,,,"54 ACADEMY PARK ROAD, REGINA, SK S4S4T7",Address,Whitmore Park,JS GROUP OF COMPANIES,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRBS202500057,Basement Development,2025-01-09 00:00:00,Residential,Alteration and improvements,27500,0,,,"7929 CANOLA AVENUE, REGINA, SK S4Y0E8",Address,Westerra,,Contractor,"330-Row House, garden home, town house, carriage home, quadrex"
PRDK202500031,Deck/Sunroom,2025-01-09 00:00:00,Residential,Alteration and improvements,4000,0,,,"5210 SQUIRES ROAD, REGINA, SK S4W0G8",Address,Harbour Landing,CRAWFORD HOMES (1991) LTD.,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSS202403074,Secondary Suite,2025-01-09 00:00:00,Residential,Addition to existing building commerical & residential,60000,1,,,"8116 BARLEY CRESCENT, REGINA, SK S4Y0E7",Address,Westerra,Punjab Construction - Gurpreet Singh,Contractor,"210-Semi-Detached or Double House, single attached home"
PRSS202403119,Secondary Suite,2025-01-09 00:00:00,Residential,Addition to existing building commerical & residential,60000,1,,,"4805 E KELLER AVENUE, REGINA, SK S4V3S6",Address,The Towns,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSS202403134,Secondary Suite,2025-01-09 00:00:00,Residential,Addition to existing building commerical & residential,43500,1,,,"3229 GREEN TURTLE ROAD, REGINA, SK *",Address,The Towns,Lucky Links Building Services Ltd. - Lucky Aluge,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRBS202500071,Basement Development,2025-01-10 00:00:00,Residential,Alteration and improvements,75000,0,,,"3003 QUINN DRIVE, REGINA, SK S4P2W3",Address,Wascana Addition,WEST OAK INVESTMENTS GENERAL PARTNER I LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRBS202500072,Basement Development,2025-01-10 00:00:00,Residential,Alteration and improvements,20000,0,,,"6769 MAPLE VISTA DRIVE, REGINA, SK S4X0J6",Address,Maple Ridge,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRDE202402791,Demolition,2025-01-10 00:00:00,Residential,Demolition,0,0,,1,"2340 MCINTYRE STREET, REGINA, SK S4P2S2",Address,Old 33,S + T Property Maintenance,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRDK202401977,Deck/Sunroom,2025-01-10 00:00:00,Residential,Alteration and improvements,5600,0,,,"4010 14TH AVENUE, REGINA, SK S4T1S3",Address,Old 33,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRDK202401997,Deck/Sunroom,2025-01-10 00:00:00,Residential,Alteration and improvements,12480,0,,,"3642 ARGYLE ROAD, REGINA, SK S4S2C1",Address,Lakeview Centre,CARON ENTERPRISES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRFR202500061,Foundation Repair,2025-01-10 00:00:00,Residential,Alteration and improvements,19793.16,0,,,"6619 COLLINS BAY, REGINA, SK S4X1T1",Address,Sherwood Estates,KB Better Construction,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRFR202500062,Foundation Repair,2025-01-10 00:00:00,Residential,Foundation (new),10000,0,,,"2301 PARLIAMENT AVENUE, REGINA, SK S4S4G5",Address,Hillsdale,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRMH202500060,Plumbing,2025-01-10 00:00:00,Residential,Mechanical,4000,0,,,"119 STAPLEFORD CRESCENT, REGINA, SK S4R4S8",Address,Regent Park,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRRN202402154,Renovation/Alteration,2025-01-10 00:00:00,Commercial,Alteration and improvements,75000,0,1,,"2102 11TH AVENUE, REGINA, SK S4P0J5",Address,Old 33,CORNWALL CENTRE INC.,Property Owner,"512-Retail complex; plaza, mall, shopping centre, store/office building"
PRRN202402713,Renovation/Alteration,2025-01-10 00:00:00,Residential,Alteration and improvements,200000,0,,,"2020 DUFFERIN ROAD, REGINA, SK S4S5T8",Address,Whitmore Park,HOPE CONSTRUCTION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRRN202403126,Renovation/Alteration,2025-01-10 00:00:00,Commercial,Alteration and improvements,70000,0,3,,"15 CENTENNIAL STREET, Unit:11, REGINA, SK S4S6K7",Address,Hillsdale,,Property Owner,315-Apartment - Condominium
PRRN202403127,Renovation/Alteration,2025-01-10 00:00:00,Commercial,Alteration and improvements,70000,0,3,,"23 CENTENNIAL STREET, Unit:11, REGINA, SK S4S6K7",Address,Hillsdale,,Property Owner,315-Apartment - Condominium
PRRN202403128,Renovation/Alteration,2025-01-10 00:00:00,Commercial,Alteration and improvements,70000,0,3,,"43 CENTENNIAL STREET, REGINA, SK S4S6P8",Address,Hillsdale,,Property Owner,315-Apartment - Condominium
PRSF202403108,Single/Semi-Detached Dwelling 1-2 units,2025-01-10 00:00:00,Residential,New construction,400000,1,2,,3104 FAVEL DRIVE,Address,The Towns,DREAM TOWNS LANDS SOUTH (GP) INC.,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRBS202500068,Basement Development,2025-01-11 00:00:00,Residential,Alteration and improvements,32000,0,,,"2940 GEORGE STREET, REGINA, SK *",Address,The Towns,,Property Owner,"330-Row House, garden home, town house, carriage home, quadrex"
PRBS202403027,Basement Development,2025-01-13 00:00:00,Residential,Alteration and improvements,50000,0,,,"3261 COPELAND ROAD, REGINA, SK S4V3S7",Address,The Towns,CREEK CONSTRUCTION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRBS202500045,Basement Development,2025-01-13 00:00:00,Residential,Alteration and improvements,45000,0,,,"70 KENNEDY CRESCENT, REGINA, SK S4R6G4",Address,Walsh Acres,,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRDE202500037,Demolition,2025-01-13 00:00:00,Residential,Demolition,5000,0,,,"1175 CAMERON STREET, REGINA, SK S4T2S9",Address,Old 33,101154576 SASKATCHEWAN LTD.,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRDK202401671,Deck/Sunroom,2025-01-13 00:00:00,Residential,New,8893.49,0,,,"5619 NORSEMAN CRESCENT, REGINA, SK *",Address,Harbour Landing,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRDK202403129,Deck/Sunroom,2025-01-13 00:00:00,Residential,Alteration and improvements,10000,0,,,"3925 VICTORIA AVENUE, REGINA, SK S4T1M7",Address,Old 33,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRFR202500040,Foundation Repair,2025-01-13 00:00:00,Residential,Alteration and improvements,3720,0,,,"34 PLANT CRESCENT, REGINA, SK S4N5C3",Address,Glencairn Village,AAA Solid Foundation,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRMH202500065,Plumbing,2025-01-13 00:00:00,Residential,Mechanical,4400,0,,,"3120 ANGUS STREET, REGINA, SK S4S1P4",Address,Lakeview,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRRN202402940,Renovation/Alteration,2025-01-13 00:00:00,Commercial,Alteration,2972160,0,3,,"3303 HILLSDALE STREET, REGINA, SK S4S4J8",Address,Hillsdale,3303 HILLSDALE PROPERTIES LTD.,Property Owner,"520-Office building; consultant’s office, doctor’s office, insurance compan"
PRRN202500053,Renovation/Alteration,2025-01-13 00:00:00,Residential,Alteration and improvements,50000,0,,,"2154 KING STREET, REGINA, SK S4T4G8",Address,Old 33,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSS202403131,Secondary Suite,2025-01-13 00:00:00,Residential,Addition to existing building commerical & residential,50000,1,,,"7207 MAPLE VIEW CRESCENT, REGINA, SK S4X4S3",Address,Maple Ridge,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRFR202500075,Foundation Repair,2025-01-14 00:00:00,Residential,Alteration and improvements,3200,0,,,"187 BOTHWELL CRESCENT, REGINA, SK S4R5Y7",Address,Uplands,Regina Housing Leveling,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRFR202500079,Foundation Repair,2025-01-14 00:00:00,Residential,Foundation (new),40000,0,,,"2301 PARLIAMENT AVENUE, REGINA, SK S4S4G5",Address,Hillsdale,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRFR202500086,Foundation Repair,2025-01-14 00:00:00,Residential,Alteration and improvements,5000,0,,,"220 3RD AVENUE, REGINA, SK S4N7C3",Address,Eastview,Regina House Leveling - Travis Zerie,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRNR202403084,New Commercial,2025-01-14 00:00:00,Commercial,New construction,500000,0,1,,3750 CHUKA BOULEVARD,Address,The Greens on Gardiner,102049625 SASKATCHEWAN LTD.,Property Owner,"512-Retail complex; plaza, mall, shopping centre, store/office building"
PRRN202402503,Renovation/Alteration,2025-01-14 00:00:00,Commercial,Alteration,50000,0,2,,"2101 E QUANCE STREET, REGINA, SK S4V3L9",Address,Gardiner Park,BTA REAL ESTATE GROUP INC.,Property Owner,"512-Retail complex; plaza, mall, shopping centre, store/office building"
PRRN202403089,Renovation/Alteration,2025-01-14 00:00:00,Residential,Alteration and improvements,10000,0,,,"6109 KOEP AVENUE, REGINA, SK S4X0H5",Address,Skyview,DRC CONSTRUCTION  - Darrell Wurm,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSS202403061,Secondary Suite,2025-01-14 00:00:00,Residential,Addition to existing building commerical & residential,35000,1,,,"2922 BELLEGARDE CRESCENT, REGINA, SK S4V3W5",Address,The Towns,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRAH202402545,Alternative Family Care Home,2025-01-15 00:00:00,Residential,Alteration and improvements,1500,0,,,"410 N ARGYLE STREET, REGINA, SK S4R4C8",Address,Coronation Park N.,VXLAN INC.,Historic Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRBS202500039,Basement Development,2025-01-15 00:00:00,Residential,Other,28000,0,,,"3250 DAPHNE STREET, REGINA, SK S4V3R4",Address,Harbour Landing,First Call Construction,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRBS202500055,Basement Development,2025-01-15 00:00:00,Residential,Alteration and improvements,35000,0,,,"4801 CHILD AVENUE, Unit:103, REGINA, SK S4X0C4",Address,Lakeridge,,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRBS202500080,Basement Development,2025-01-15 00:00:00,Residential,Alteration,30000,0,,,"1644 N MAPLE HILL CRESCENT, REGINA, SK S4X0P1",Address,Maple Ridge,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRBS202500088,Basement Development,2025-01-15 00:00:00,Residential,Alteration and improvements,5000,0,,,"5234 AERODROME ROAD, Unit:76, REGINA, SK S4W0H7",Address,Harbour Landing,,Property Owner,335-Row House - Condominium
PRBS202500093,Basement Development,2025-01-15 00:00:00,Residential,Alteration and improvements,30000,0,,,"3960 GREEN FALLS DRIVE, Unit:152, REGINA, SK S4V3T5",Address,The Greens on Gardiner,,Property Owner,335-Row House - Condominium
PRFR202500085,Foundation Repair,2025-01-15 00:00:00,Residential,Alteration and improvements,5000,0,,,"220 3RD AVENUE, REGINA, SK S4N7C3",Address,Eastview,Regina House Leveling - Travis Zerie,Contractor,"330-Row House, garden home, town house, carriage home, quadrex"
PRRN202402361,Renovation/Alteration,2025-01-15 00:00:00,Institutional,Alteration and improvements,1500000,0,1,,"111 WASCANA GATE N, REGINA, SK S4V2J6",Address,Wascana View,WILLOW SPRING CONSTRUCTION,Contractor,"660-Religious building; church, cathedral, temple, citadel, synagogue"
PRRN202402953,Renovation/Alteration,2025-01-15 00:00:00,Commercial,Alteration and improvements,904275.6,0,,,"2275 ALBERT STREET, REGINA, SK S4P2V5",Address,Old 33,GRAVES INVESTMENTS LTD.,Property Owner,"520-Office building; consultant’s office, doctor’s office, insurance compan"
PRRN202500020,Renovation/Alteration,2025-01-15 00:00:00,Commercial,Alteration and improvements,85000,0,1,,"225 E 6TH AVENUE, REGINA, SK S4N6A6",Address,Industrial Ross,CROWN SHRED & RECYCLING INC.,Property Owner,"460-Storage building; warehouse (for storage purposes only), industrial mal"
PRSF202500008,Single/Semi-Detached Dwelling 1-2 units,2025-01-15 00:00:00,Residential,New construction,580000,1,2,,"3241 GREEN TURTLE ROAD, REGINA, SK *",Address,The Towns,Homes by Dream,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRFR202500010,Foundation Repair,2025-01-16 00:00:00,Residential,Alteration and improvements,11000,0,0,,"3905 BRANDY LANE DRIVE, REGINA, SK S4S7E2",Address,Albert Park,,Property Owner,"330-Row House, garden home, town house, carriage home, quadrex"
PRMH202500107,Plumbing,2025-01-16 00:00:00,Residential,Mechanical,4195,0,0,,"4115 2ND AVENUE, REGINA, SK S4T0B3",Address,Windsor Place,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRMH202500116,Plumbing,2025-01-16 00:00:00,Residential,Mechanical,3000,0,0,,"27 PRINCESS PLACE, REGINA, SK S4S2K3",Address,Lakeview South,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRMH202500117,Plumbing,2025-01-16 00:00:00,Residential,Mechanical,10960,0,0,,"1024 ABERDEEN STREET, REGINA, SK S4T5J7",Address,Rosemont South,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRRN202500034,Renovation/Alteration,2025-01-16 00:00:00,Residential,Alteration and improvements,1000,0,0,,"6038 DEWDNEY AVENUE, REGINA, SK S4T1C9",Address,Mount Royal,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
